Trigram,polish,czech
e ż,391,1
biz,36,2
fud,8,1
icj,265,1
fat,7,5
h ú,1,10
nsz,27,1
hnk,2,1
905,2,1
á o,1,135
y ź,3,1
lil,54,264
pak,217,148
rms,2,1
ecí,1,30
obą,552,1
ocł,8,1
rws,402,1
żał,242,1
šíl,1,18
tó ,2,1
ou:,1,4
ř f,1,2
ětě,1,61
nog,157,1
eps,468,32
ejh,1,30
cos,8,5
“ty,1,2
ě p,1,514
ł z,965,1
cło,4,1
lki,363,1
yką,42,1
cką,12,1
ůzi,1,27
ła:,5,1
epn,14,7
etn,379,48
n: ,3,1
 sů,1,14
éno,1,117
lad,134,593
euš,1,2
1 t,2,1
 (4,2,1
2 a,2,1
go-,2,1
ryh,1,5
dsz,162,1
prc,1,41
 fó,1,2
j b,373,76
aví,1,234
by:,3,1
t f,90,53
erm,72,31
ulc,13,2
ájm,1,9
zyf,4,1
dkr,108,4
 li,836,570
ukó,6,1
izz,48,23
ván,1,347
i ž,1,113
doz,24,48
scv,1,2
síd,1,2
ůlh,1,2
x-m,1,3
š-l,1,14
unę,24,1
ába,1,45
zkv,1,3
šia,2,1
ąpi,189,1
bjö,2,3
mpą,2,1
cbc,2,1
41 ,3,1
4 m,2,1
„ki,5,2
akh,1,89
šlé,1,3
l ż,18,1
odn,1069,725
aiń,7,1
gee,2,1
auč,1,181
čim,1,18
wor,457,5
pta,175,170
bů ,1,3
eła,37,1
"śl,2,1
běť,1,4
eap,2,3
eký,1,2
y ł,39,1
ąl ,2,1
mé ,1,160
ótł,4,1
me;,3,1
 wo,3,1
żli,286,1
rąż,33,1
jąk,85,1
rác,1,570
yni,598,80
ejc,33,45
ywł,4,1
jie,2,1
nyn,4,32
dlé,1,10
usů,1,5
řup,1,2
ízu,1,2
 – ,38,6
já ,2,319
0 c,15,4
: ",28,10
pl ,1,10
sut,56,2
ešt,1,774
á 4,1,2
zys,3430,1
žej,1,7
owu,228,2
gaw,16,1
ałż,58,1
87 ,3,1
áhr,1,5
lio,157,5
ż: ,2,1
ězň,1,2
ódl,10,1
du),2,1
ażę,49,1
icp,2,1
lšt,1,34
š ř,1,28
zír,1,20
rdž,1,2
ę p,2487,1
"v",2,1
egg,2,1
áky,1,26
šel,1,978
iso,40,29
wec,16,1
bré,1,108
 pý,1,3
é 5,1,2
eśl,758,1
tag,6,2
cop,2,25
dce,8,216
ó z,2,1
hm ,1,2
íňk,1,3
dza,648,2
żda,40,1
zik,63,32
ycę,3,1
čto,1,6
éds,1,10
"hm,4,2
tců,1,3
veš,1,48
- w,28,1
cíp,1,6
ziá,3,1
sič,1,10
rae,9,4
řes,1,589
 25,9,5
zzu,7,27
éwc,2,1
92 ,4,1
žký,1,25
ižo,1,12
ám;,1,2
2 s,6,2
id-,1,2
łaź,8,1
kąt,23,1
zář,1,13
iov,1,6
8 4,2,1
jut,545,1
egą,11,1
jką,17,1
ěhá,1,13
pou,14,290
tům,1,9
usd,2,1
rec,131,42
yga,25,2
kij,23,3
dęt,8,1
fić,6,1
i(r,2,1
 pů,1,196
lám,1,220
týn,1,6
nęł,310,1
tęc,6,1
yi ,7,1
efí,1,2
íču,1,2
lýd,1,2
ncę,2,1
yrż,2,1
ožc,1,2
ic ,702,404
iei,31,1
ty-,2,1
viď,1,11
rea,104,29
ezc,26,6
jęm,2,1
rvu,1,25
ntë,3,1
 ro,4444,1326
tlu,1,54
loh,1,31
naf,20,17
lzl,1,2
puk,35,14
agł,44,1
fic,64,12
 úd,1,14
jt ,1,3
ý e,1,8
nuu,11,1
ogł,500,1
jmí,1,5
eć ,827,1
óbm,37,1
sív,1,6
iąś,50,1
ny',9,1
lni,584,109
st:,2,1
en”,3,1
res,806,235
twg,2,1
zip,5,2
o 5,21,6
stą,418,1
trs,1,3
ičs,1,15
áne,1,44
kav,1,44
ký ,1,430
woź,7,1
ina,801,406
pam,381,190
odř,1,15
zbí,1,5
ia:,4,1
u-w,2,1
ivé,1,60
čík,1,5
juž,1,2
m d,1448,870
/mi,2,1
ług,738,1
fiń,7,1
eko,512,171
v ř,1,53
% g,2,1
 pę,29,1
ipá,1,8
k t,636,386
łuj,98,1
ykr,129,4
dpu,12,52
uar,3,1
ud ,14,257
rió,3,2
lg ,2,1
ziu,50,2
arł,344,1
 -s,2,1
e/ ,3,1
lwo,4,1
deč,1,25
ods,252,90
żeg,95,1
ašk,1,43
ů f,1,3
záz,1,18
cni,89,83
nít,1,19
ncj,225,1
; /,2,1
" c,3,2
gęś,11,1
é p,1,427
fos,3,3
ądn,108,1
"lh,1,6
gza,146,1
ź u,11,1
igł,23,1
bąd,212,1
roh,1,70
egł,198,1
„ma,6,2
ázn,1,33
tít,1,39
ž e,1,7
owo,1248,1
ice,234,495
 łu,15,1
l”),1,2
ztó,13,1
a…n,1,2
om”,2,1
esh,2,5
"já,1,71
łw ,4,1
996,2,1
usp,51,52
áti,1,190
anó,105,1
“ob,1,2
om',76,1
lie,49,74
ěti,1,397
c „,2,1
orw,35,1
edr,24,23
cem,268,136
zo ,1640,31
ył ,2316,1
ny:,3,2
ę"m,2,1
yuc,4,1
jmę,21,1
trz,3656,1
dmą,6,1
íjn,1,46
dcí,1,2
akc,166,13
uną,59,1
htk,2,1
 př,1,3550
jła,6,1
sis,473,97
ofi,51,18
thi,4,2
uał,2,1
shn,1,3
ppa,2,1
usť,1,24
 šn,1,2
elč,1,2
lbę,2,1
vli,1,23
łec,102,1
zdi,1,64
jpe,2,1
dno,467,604
hiz,9,1
 sk,3,1
000,52,5
hep,2,3
-wi,5,1
ple,163,58
k a,61,44
 (j,4,3
tí ,1,383
fyz,1,12
h 5,2,1
owc,191,1
tyz,27,2
 ná,1,1335
ż e,6,1
bo ,403,230
íbr,1,17
daň,1,6
c j,170,185
t č,1,70
ipk,7,6
3 :,2,1
cká,1,36
toš,1,8
nię,898,1
išu,1,2
rto,203,35
- o,16,2
coi,2,1
vyp,1,528
yší,1,64
u h,19,162
sp ,3,1
odo,971,191
ůžk,1,20
oko,1250,571
tad,29,605
łet,3,1
 nt,2,1
ěmý,1,2
 78,3,1
""“,1,2
ów",5,1
ílu,1,11
e e,55,44
óżm,9,1
máh,1,64
ulę,34,1
194,12,9
sji,72,1
rbe,6,5
iow,308,1
neg,999,6
wye,8,1
oum,1,11
des,278,172
mea,1,2
 -",2,1
aďa,1,74
ż c,137,1
tką,122,1
j ",3,1
ému,1,180
abc,61,2
slé,1,3
 ph,6,1
aij,3,1
 sm,305,394
czk,506,1
inw,25,1
żab,18,1
ty:,5,1
ą 8,2,1
n ć,2,1
šší,1,35
énk,2,5
kié,2,1
á e,1,10
jás,1,2
er ,428,133
zof,21,3
zet,267,41
sťo,1,5
pte,18,35
 cé,3,4
ácp,1,8
wcá,2,1
eas,4,2
fy ,11,4
haš,1,2
g ś,2,1
pig,7,1
śną,2,1
unn,4,4
ies,3594,1
”or,2,1
coł,2,1
"če,2,55
zán,1,38
"wp,16,1
írs,1,7
écÿ,2,1
těl,1,629
jąt,107,1
edt,17,61
vců,1,2
ę” ,7,1
wlu,2,1
mbu,24,15
-em,2,1
pun,109,4
pté,1,2
ršk,1,2
duz,8,4
mbe,5,3
yle,238,36
nyk,2,1
) p,10,1
ł ",7,1
tęż,29,1
aką,159,1
e h,110,541
z č,1,19
riz,3,27
pár,1,120
doż,24,1
:00,32,2
m/h,6,1
lęs,8,1
ý c,1,51
yjo,2,1
écz,3,1
d's,2,2
aby,597,1039
są ,2,1
"vč,1,46
ěsn,1,7
dżę,19,1
drn,1,2
ęku,196,1
ąp ,2,1
pro,3529,3509
jed,1783,1129
 dé,1,48
dyz,4,1
vad,1,80
g n,40,1
 że,6647,1
art,1035,70
yka,677,27
hrd,1,50
)” ,2,1
żwi,5,1
j"",3,1
"bů,1,9
lea,12,1
pěs,1,20
šíp,1,3
e č,1,311
kcí,1,4
mům,1,3
apá,1,20
š č,1,34
pal,498,228
 ak,207,53
ie),2,1
111,7,1
„to,10,4
ahi,5,1
b” ,2,1
mrh,1,6
0 °,1,2
dol,285,103
o ś,334,1
mah,7,7
ůlk,1,8
owe,1301,3
tef,5,1
ědk,1,6
wsi,118,1
eal,83,10
 le,1444,746
asm,8,12
 vů,1,147
áčo,1,4
łys,609,1
atš,1,15
rbó,4,1
oob,9,5
bař,1,27
ítr,1,256
g t,15,1
vyk,1,302
zka,1013,56
ico,49,1
cat,7,4
čov,1,93
ewi,864,1
icw,2,1
ę p,2,1
zpě,1,66
li;,1,2
dcą,8,1
éfa,1,11
io ,221,12
ůry,1,13
żzm,2,1
ešá,1,2
bán,1,11
 vř,1,2
a‘ ,1,2
 u ,181,124
orę,78,1
ťme,1,7
 mo,5601,1560
vol,3,602
ipp,2,2
"dl,183,11
d b,87,171
wiz,341,1
mfe,4,1
ůlí,1,2
zbó,7,1
;/ ,2,1
jíš,1,49
 58,3,1
ičo,1,7
— s,2,1
náj,1,12
táž,1,6
is ,77,151
ňap,1,2
"ob,178,94
iłb,100,1
yto,126,98
jně,1,103
fíš,1,2
ětů,1,8
ółc,72,1
ddá,1,3
"šp,1,4
0 o,21,2
meś,2,1
dmi,118,46
eiś,2,1
ic",2,1
 ou,2,1
éli,1,2
ěpi,1,2
ci”,2,1
láh,1,22
bół,2,1
ry’,2,1
yść,18,1
 ‚v,1,2
zre,86,4
eřá,1,3
čen,1,236
pla,564,537
tpl,64,1
"tv,1,44
zły,481,1
ímá,1,105
l ž,1,66
eym,1,2
łod,848,1
wsp,443,1
amę,53,1
roč,1,888
m n,2928,2298
žed,1,6
"„g,3,2
z-g,2,1
řvá,1,5
85 ,3,2
gzo,4,1
y k,841,139
1 g,2,1
taš,1,42
zza,19,2
 dz,3478,1
ásn,1,185
él ,1,8
007,2,1
ýti,1,5
yno,136,33
 4:,3,2
uvm,1,11
191,9,4
lo:,1,2
urw,37,1
ryč,1,54
pák,1,15
r -,3,1
rke,40,47
nžo,1,4
laž,1,2
órc,18,1
fow,20,1
 er,12,2
nám,2,758
fid,2,1
ung,21,67
lá ,1,197
 dł,632,1
íva,1,364
yus,1,4
lex,9,4
uco,26,3
r ",3,1
 ws,3,1
źli,71,1
lif,30,12
"₤",2,1
«zi,2,1
-fo,4,1
lék,2,244
ż i,2,1
rci,244,8
:sł,2,1
w"",5,1
994,3,2
azv,1,17
ežc,1,2
865,3,1
jvě,1,27
bkl,1,22
sód,3,1
982,2,2
łań,15,1
 żl,3,1
 yo,26,28
te”,3,1
by',2,1
ídí,1,28
"sr,2,3
ish,7,3
kką,9,1
jpy,3,1
iąu,2,1
+al,2,1
vně,1,134
š: ,1,2
ń d,70,1
lęn,2,1
á c,2,60
"xy,2,1
xty,1,7
 „f,1,2
 tp,2,1
vna,1,71
pse,46,18
lze,1,21
ku;,1,2
čůr,1,7
ktí,1,4
íhn,1,2
leg,289,42
""@,2,1
ad",2,1
la ,1415,2743
962,2,1
pec,95,65
e z,4491,1441
ące,430,1
""-,6,2
u“ ,1,2
ť s,1,51
ąsi,113,1
újm,1,2
910,3,2
bać,37,1
ore,474,62
 iż,7,1
m f,83,51
ę g,351,1
ryn,89,4
sný,1,78
zus,39,1
mém,1,65
sub,20,2
z 2,7,1
ávn,1,180
dtl,2,1
y ś,187,1
něč,1,38
vl ,1,6
ożu,2,1
ůni,1,6
jej,1633,343
kat,192,346
ąco,220,1
ętl,3,1
wpi,16,1
t-f,4,1
o -,7,3
ąk ,17,1
kau,4,4
uzd,8,16
sta,6778,2408
suj,326,19
źby,4,1
oč ,1,806
ęsn,5,1
 sę,14,1
 um,721,279
"fu,2,3
prą,40,1
awz,30,1
stw,1028,1
rog,515,55
ko:,2,1
io",2,1
jul,22,11
ch”,2,1
k ž,1,15
mív,1,69
ipi,11,1
jgę,2,1
"té,1,5
cex,2,1
twa,666,3
ąci,26,1
źny,10,1
pýc,1,6
hoć,83,1
sjo,29,1
uru,39,15
gół,46,1
pha,2,2
emé,1,3
rtf,58,1
 rz,922,1
ęłe,2,1
ený,1,323
žeh,1,22
uve,1,11
ę s,2139,1
"vt,1,4
 śn,380,1
ćce,2,1
 'p,1,2
"ka,131,108
eka,1649,316
zan,719,73
ňky,1,6
aut,430,595
iśn,50,1
ęzi,96,1
sův,1,3
ewa,840,1
ádž,1,2
"uw,161,1
(+4,2,1
"ře,1,394
jja,2,4
cd ,4,4
ład,791,1
rom,196,438
ioł,89,1
íma,1,173
duh,1,14
ksz,376,1
"mý,1,5
kuh,1,2
ś h,13,1
í č,1,150
džb,1,6
rtě,1,11
"vš,1,151
eol,9,6
użę,3,1
ůře,1,4
nve,1,10
„vš,1,2
ok",2,1
bsu,24,4
ząc,266,1
ď a,1,9
las,317,466
aud,13,3
syg,16,1
gič,1,2
ch',2,1
ą c,382,1
ghá,1,3
ě h,1,106
eml,2,124
ehň,1,2
dua,12,2
orz,1009,1
oan,3,2
rka,227,28
nif,10,9
zva,1,102
jví,1,21
ača,1,220
 dd,1,2
rcą,10,1
bdo,1,7
íků,1,28
í -,1,2
k l,60,57
ioz,12,1
cac,84,4
iní,1,35
i:",2,1
dlę,3,1
teg,2166,5
ový,1,312
hko,4,9
pců,1,5
d ó,4,1
ąza,200,1
ý ú,1,21
půs,1,109
vůb,1,175
wbó,8,1
97 ,2,1
vdá,1,24
" v,1,3
n ř,1,18
árm,1,2
čpa,1,3
ica,221,13
rdz,2185,1
my",2,1
así,1,128
"su,24,6
iee,7,1
íky,1,74
4:1,2,1
ne‘,1,2
rtv,1,64
omí,1,149
sča,1,4
śc ,5,1
atů,1,6
ąkn,6,1
jzb,3,1
rpí,1,26
 bé,1,2
být,1,525
smn,1,17
saď,1,18
'a ,24,1
čív,1,23
tw ,41,1
ić:,3,1
ý f,1,21
dzw,449,1
mka,32,13
pać,255,1
afť,1,3
áhu,1,15
 wl,23,1
rfo,3,1
níh,1,119
omn,499,226
ksy,58,4
ýce,1,13
hsć,2,1
hlé,2,86
"ła,22,1
cel,179,422
$20,2,1
 99,3,2
onš,1,10
ši",1,2
efr,6,3
uky,1,21
něd,1,86
ašn,1,25
paß,1,2
rść,6,1
š k,1,70
awę,234,1
l-a,1,2
: ž,1,3
r c,25,11
g r,5,1
ro",2,1
klí,1,150
inp,2,1
kny,134,2
epá,1,12
ezs,22,2
123,2,1
auw,95,1
 ko,3849,1599
mię,951,1
bay,3,2
čej,1,39
 új,1,2
nie,35222,15
"c#,2,1
umí,1,438
uv ,1,27
 ní,1,259
íkr,1,2
„yu,2,1
dpl,1,7
 wy,5520,2
góm,1,2
żyd,11,1
ożo,75,1
zpy,2,2
ryd,19,1
árá,1,3
z s,967,21
roř,1,5
 wr,702,1
břa,1,3
zdó,3,1
očá,1,16
per,411,178
á š,1,45
óg ,81,1
mís,1,241
rký,1,11
tua,180,67
usb,3,1
ak-,2,1
 5%,4,2
‚ma,1,2
rzy,8159,168
xis,1,87
úsi,1,11
řin,1,143
sz:,6,1
cÿn,2,1
 żw,7,1
uhn,1,6
ięg,108,1
íbu,1,18
šta,1,14
č l,1,7
119,2,2
brď,1,2
jko,34,3
tmi,2,24
j m,764,198
: u,2,2
obg,11,1
 20,115,25
hig,5,1
eff,4,2
za:,2,1
mou,8,111
żew,3,1
ibo,3,9
nho,6,1
trl,2,1
gdz,977,1
íso,1,2
lno,311,82
o"s,2,1
úru,1,2
żat,11,1
anč,1,76
hrá,1,354
prv,1,187
- h,1,2
řní,1,8
é o,1,133
ýpo,1,7
duá,1,2
 šm,1,3
ażm,4,1
24 ,9,2
ílé,1,32
oźd,9,1
nża,4,1
člo,1,196
‎ne,1,2
zow,235,1
vep,1,11
oit,17,2
olt,3,18
jbl,45,14
 1 ,8,2
apü,2,3
łąg,2,1
mać,234,1
nzí,1,32
plé,1,16
idé,1,220
kně,1,63
lom,57,51
ito,55,122
zęk,5,1
 's,2,1
záb,1,38
 't,2,1
lry,1,16
ářs,1,10
dač,1,8
d w,291,3
ar”,2,1
ívn,1,2
ęmó,2,1
ešl,1,93
idł,32,1
eí ,1,2
řih,1,27
í-l,1,3
;bą,2,1
stš,1,2
dep,33,40
až ,1,270
iąk,2,1
ipr,1,146
 la,2,1
jor,80,3
p -,2,1
aźl,12,1
rťá,1,2
"ii,2,1
e é,1,2
"cr,2,2
rhy,1,2
sán,1,13
tłą,3,1
eer,3,1
aż:,2,1
ěkd,1,382
'w ,2,1
dbę,23,1
ěme,1,99
vál,1,137
hjo,2,2
přo,1,8
snu,32,60
7 k,2,1
weh,1,2
ć t,2,1
poc,1250,232
zje,330,5
l d,17,584
"mě,1,152
žád,1,516
acu,400,210
“ča,1,2
op ,24,6
ę d,6,1
lą ,67,1
"pę,2,1
 dp,1,2
izí,1,55
opa,453,207
800,2,1
ję ,1274,1
łtn,2,1
giń,3,1
muf,2,1
 gó,246,4
żom,3,1
zům,1,2
"la,19,11
nfe,33,7
tiž,1,7
ádů,1,8
iry,56,7
zče,1,6
páv,1,6
: ',2,1
t x,1,2
ląs,5,1
hť ,1,4
ojg,10,1
hit,33,10
umf,5,2
ť m,1,22
umv,1,2
evý,1,7
dwe,3,1
6 c,2,1
apę,35,1
naż,6,1
lii,181,80
 la,1021,137
dor,146,107
mr ,2,2
nod,12,66
ejf,8,2
nep,8,1106
z"",7,1
ošo,1,3
nžm,1,2
fai,5,1
 kř,1,83
o 9,9,1
m(a,2,1
jén,2,1
drę,58,1
hev,1,26
a: ,19,8
ośp,36,1
íto,1,67
pé ,1,5
deę,3,1
číc,1,20
psí,1,13
"ká,1,5
efe,74,25
łby,1536,1
ą)",2,1
 ct,2,5
say,6,2
vti,1,33
pop,1017,171
się,12503,1
zba,103,37
eta,298,142
pan,1685,220
-ka,2,1
-ji,2,1
vig,1,2
úřa,1,4
ábu,1,5
80 ,14,4
zfo,1,3
poč,1,392
p d,21,5
e'a,20,1
w ź,2,1
”ws,2,1
 „z,9,2
zmů,1,3
oté,1,35
yčí,1,8
tá ,1,81
haf,4,1
eom,6,9
„co,6,3
mlk,1,10
ďky,1,2
dyr,23,1
ćby,30,1
)za,2,1
ýbu,1,4
lhk,1,2
ado,654,142
guś,2,1
ocí,1,20
ydą,2,1
łąd,162,1
tły,7,1
aaw,5,1
dáš,1,116
„ku,2,1
vlc,1,3
čli,1,21
ný ,1,735
019,1,2
(ná,1,2
ň n,1,25
ź p,70,1
 sň,1,5
nóz,1,3
a ć,10,1
můr,1,20
ězi,1,25
rót,244,1
bóg,71,1
řib,1,30
ehá,1,17
hov,4,396
żyt,131,1
”"a,2,1
ntt,2,1
m u,546,501
úpl,1,73
vre,1,2
bań,7,1
í e,1,12
jný,1,43
eks,257,2
bby,47,3
tov,1,363
djí,1,34
799,1,2
ekk,49,1
ynů,1,5
avé,1,65
ę"b,2,1
29-,2,1
woż,3,1
dś ,4,1
ncz,17,1
„da,3,1
náh,1,69
003,1,2
leč,1,174
ýnk,1,2
ozb,135,84
iá ,4,1
rzn,53,8
úře,1,5
xík,1,13
ísa,1,18
 ró,502,1
í f,1,85
on/,3,1
ážd,1,8
vpo,1,4
waj,350,1
bar,2047,93
 us,651,153
ejk,27,13
esy,60,5
-up,2,2
u –,2,1
mld,3,1
ki ,2163,7
zzy,10,2
hu",2,1
wza,49,1
ine,119,123
nok,28,5
„wi,6,1
czm,36,1
u j,526,461
ośn,183,1
ácá,1,2
bál,1,84
zel,286,129
äps,2,1
klo,19,111
uán,1,2
íme,1,505
zry,19,6
mmy,9,3
lęć,2,1
y y,2,1
rwo,342,1
aln,770,8
sen,432,85
aho,11,74
żuw,2,1
"mh,2,1
yom,2,1
aný,1,147
naw,729,2
vne,1,6
; z,3,2
šeo,1,3
o: ,12,5
adg,11,1
wdz,351,1
eań,22,1
če ,1,143
náč,1,5
wto,22,1
125,1,2
věc,1,243
pny,143,1
poź,2,1
p f,1,3
żoś,4,1
“"z,1,3
ł c,402,1
boc,47,8
emu,846,267
dió,11,3
dz:,2,1
 uv,1,195
ł: ,23,1
ogn,72,2
poi,44,2
ozp,190,55
fug,2,2
hł ,12,1
vsa,1,11
zog,2,1
c 1,2,1
vku,1,74
dpi,69,7
ózu,1,2
č e,1,2
y ß,2,1
zeń,238,1
vný,1,59
drs,1,5
dma,16,3
tou,1,298
tti,10,2
tál,1,390
ń f,7,1
užo,1,2
éb ,1,13
pcu,11,1
noč,1,42
23:,3,1
pně,1,11
1 %,1,2
wan,1924,3
dą ,240,1
w ó,5,1
nac,683,61
gre,84,23
ejś,204,1
sed,6,336
m/w,3,1
ycj,133,1
reą,2,1
uit,3,2
isè,3,1
dré,1,22
b p,53,6
yká,1,18
seš,1,27
"kr,56,27
raf,442,39
dać,699,1
lby,3,12
zub,5,72
203,2,2
kik,12,2
puj,139,62
ŝat,1,2
míj,1,3
“"n,1,2
naž,1,165
muń,4,1
0 h,1,2
mok,111,36
 ki,2,1
dpa,28,25
1 m,4,1
nęu,2,1
e"t,2,1
énu,1,20
t k,284,228
iun,5,1
mp3,6,3
zdę,9,1
ěvu,1,30
osz,2371,1
wa-,5,1
osr,4,7
ldy,2,1
"－ ,2,1
m ł,44,1
táv,1,189
uto,476,625
utr,620,48
yśc,152,1
 zj,386,52
pór,15,1
b 5,2,1
yan,12,2
ś/p,3,1
ičč,1,2
bža,1,5
iuj,67,1
ę b,2,1
eżą,51,1
"sí,1,2
nau,837,179
ze ,3874,437
"łu,2,1
sa",2,1
osó,358,1
adl,28,319
yč ,1,10
ktn,1,21
l c,24,103
cak,7,1
mnó,79,1
8 (,2,1
rim,5,14
ěje,1,151
š c,1,43
oot,2,1
(=o,3,1
"kw,11,1
elg,13,7
idą,49,1
ihi,4,2
 s ,1,1611
iř ,1,3
ulf,2,2
ac ,19,1
żke,2,1
len,469,438
šni,1,10
ćni,2,1
hął,2,1
u š,1,81
d e,11,4
sją,14,1
ý č,1,100
‚př,1,3
rój,42,1
óla,14,1
duv,1,2
u f,26,42
iut,8,1
„ża,3,1
apč,1,2
zdz,71,1
ihu,3,212
% o,1,2
"aa,3,1
951,2,1
zuć,56,1
8-l,2,1
tea,23,1
ruk,61,117
suz,5,8
ulk,32,9
itb,1,5
ufa,182,34
ožk,1,25
jné,1,43
ują,640,1
łąk,7,1
jči,1,59
mec,117,108
ątó,3,1
lęc,4,1
eńm,2,1
t ř,1,13
ň z,1,13
ra-,2,1
ósm,53,1
spą,8,1
idd,3,1
j v,1,79
psů,1,16
ysí,1,4
kýk,1,6
miř,1,2
man,227,156
kud,14,201
-po,2,2
„nu,1,2
avý,1,106
dož,1,13
""s,149,69
hac,32,2
ašo,1,3
rám,1,44
iré,1,3
оди,1,3
yję,190,1
ksd,2,1
to:,6,4
ipó,6,1
ć u,119,1
34-,2,1
zwą,5,1
ách,1,178
jś ,7,1
(do,2,1
ia-,2,1
rče,1,10
neb,2,1296
án/,1,2
ulí,1,2
ń t,50,1
nvi,1,5
ż b,120,1
ję ,5,1
gko,4,3
jhl,1,6
ůje,1,6
wf ,2,1
deb,39,38
ndż,5,1
řek,1,1645
sče,1,2
dák,1,14
"wz,29,1
 jo,225,81
ddź,2,1
cia,2752,8
vot,1,340
rkv,1,4
nuá,1,4
třu,1,5
ert,171,53
pso,4,11
lij,46,11
dśw,8,1
ugh,2,1
diq,2,1
 tí,1,253
rwy,43,1
imě,1,32
a-p,3,1
eśn,422,1
omy,470,79
gam,87,5
(m),2,1
bíl,1,75
y-f,2,1
spr,1227,169
 ye,2,1
 ei,7,2
f s,2,2
gł ,331,1
ěco,1,456
ryź,15,1
jso,1,912
ěže,1,81
j a,114,18
vha,1,2
leh,1,105
ítí,1,129
eov,1,8
ace,255,233
sb ,3,1
ály,1,22
wyż,177,1
vrt,1,34
dél,1,40
yży,7,1
o h,147,292
oop,7,33
„wy,4,1
spě,1,181
żka,345,1
hyl,26,2
hwe,2,1
psi,31,25
tts,1,2
emí,1,32
442,2,1
tex,3,27
wri,2,2
"eu,4,1
svů,1,207
ącz,331,1
num,108,1
ądi,2,1
wią,667,1
ąbc,2,1
mp ,2,7
v h,1,51
učm,1,2
eců,1,3
/ t,3,1
ahe,2,23
aču,1,20
ь (,1,2
alc,126,7
sło,1070,1
016,2,1
č š,1,2
ůrá,1,3
bbc,1,2
um ,123,34
ilg,13,1
ýmy,1,3
edc,1,7
5:0,2,1
o 4,10,2
fif,3,1
fsa,1,3
 27,4,1
lik,300,615
jrz,396,1
 (d,2,1
rpr,13,2
— r,2,1
-ab,1,2
 mg,34,1
pás,1,13
iwa,343,2
idź,143,1
kiś,103,1
ięc,1281,1
wąc,8,1
kář,1,13
ępn,232,1
„tr,3,1
) 6,2,1
ysc,580,6
gom,5,2
(vy,1,2
oel,4,1
 lí,1,279
wdi,2,1
xt",1,3
ónd,3,1
dmr,5,1
wn ,13,2
aft,27,10
heh,3,1
šna,1,2
v ž,1,35
„má,1,4
ta ,1683,560
awe,375,1
10:,7,3
) d,2,1
kro,444,163
wrę,29,1
lba,1,10
kus,82,217
""",160,82
z z,696,10
 sp,3614,972
"i ,25,33
 hl,1,616
lův,1,6
mše,1,2
5 l,20,5
 vé,1,4
ý g,1,5
ajk,97,11
nou,4,1125
faq,4,2
bón,1,4
nąc,48,1
aqu,2,1
 śm,4,1
yaz,2,1
iok,4,1
t e,50,18
 ki,1850,46
eňs,1,3
óci,496,1
 ge,106,26
oć ,72,1
lgę,5,1
dwę,3,1
eňt,1,11
kve,1,15
rć ,49,1
pmy,6,1
enz,27,54
mfa,2,1
stí,1,338
hár,1,2
udé,1,3
bav,1,188
buz,27,22
ryg,71,1
ůch,1,16
rób,754,1
ini,1128,58
 ec,5,1
f z,4,2
” w,4,1
nso,84,1
vys,1,328
ézt,1,23
poż,360,1
afo,11,9
 uo,2,1
4 w,3,1
zl ,1,38
tku,134,96
olą,56,1
bga,9,1
nad,1155,315
16:,3,1
cam,134,1
řív,1,146
"em,15,1
cyś,3,1
ý ď,1,3
ozý,1,2
ł e,49,1
spó,579,1
zkl,73,42
lke,2,19
ěšu,1,2
nni,631,3
týc,1,9
mrk,1,24
bsa,4,30
jne,120,4
azę,8,1
mži,1,42
ovk,1,33
 73,1,2
unč,1,2
ňau,1,2
 ww,6,1
eić,3,1
čes,2,71
kae,2,1
 wf,2,1
vša,1,15
ždu,1,26
gha,8,3
rká,1,12
řez,1,30
"źl,9,1
tny,274,1
klu,236,80
piz,52,25
"oś,3,1
íži,1,79
tał,2039,1
yje,657,22
6 k,3,2
ubš,1,4
 pá,1,211
izp,1,8
d -,2,1
em”,7,1
óle,148,1
ętę,6,1
řís,1,72
ią ,736,1
e ź,26,1
tul,57,25
3 g,3,1
obv,1,130
 tn,5,1
-i-,2,1
ożc,3,1
než,1,617
ężk,190,1
ć 6,2,1
íh ,1,19
'za,2,1
i „,11,2
ą"n,2,1
"ša,1,6
i ",13,5
oźn,14,1
ptí,1,2
imś,54,1
ořk,1,7
pum,1,4
981,3,1
iżą,2,1
"ři,1,2
otc,5,105
rut,57,23
úno,1,13
dpř,1,4
szy,4458,1
ájí,1,10
lkó,5,9
pá ,1,7
zal,472,300
nki,293,1
ntů,1,20
ts ,2,2
"zm,37,16
abi,419,203
"om,2,25
yat,1,2
zgi,81,1
yma,757,12
)po,2,1
zeň,1,44
boż,64,1
oos,3,2
: t,7,5
udš,1,3
kai,31,2
ynt,6,1
śćd,14,1
reb,50,6
q) ,2,1
deł,83,1
ceš,1,293
epó,6,1
žká,1,28
seł,10,1
blu,19,2
dmo,11,3
orš,1,52
wek,74,1
/zo,2,1
nee,1,29
bík,1,5
czn,2142,1
ě s,1,416
yot,18,3
(ch,2,1
xfo,3,1
odí,1,382
iżk,15,1
koe,2,1
cy",5,1
rgn,8,1
hau,3,2
srr,3,1
záj,1,49
áry,1,5
 «z,2,1
idę,115,1
ma",2,4
jab,195,106
ifa,2,1
átě,1,6
ręc,363,1
