Quadgram,spanish,portugese
rbre,1,3
ñó e,37,1
oram,64,1552
curs,555,589
válv,4,10
hony,5,5
aldo,60,30
quey,2,1
alaz,26,3
eck ,1,4
à eq,1,7
díaa,2,1
u ur,2,11
 ¡hé,2,1
 no ,3,1
lcoh,189,1
s-pe,1,3
¡a é,2,1
limé,11,1
-47 ,2,2
rro-,1,11
xyz ,2,2
pekk,9,5
 q j,2,1
-ups,4,1
rêni,1,4
al-s,28,3
567 ,2,1
ral;,2,5
z ha,182,12
étel,6,1
apch,1,2
ir l,724,217
hear,4,6
ír g,2,1
 peç,1,347
tmo ,47,50
2:30,69,86
sexi,3,3
lê-l,1,31
-rió,2,1
igi:,1,2
² pa,1,2
trae,543,65
ol r,20,7
 vís,19,9
00-0,1,2
ei” ,1,3
 oka,16,3
friá,3,2
 (fa,1,2
14 a,7,11
eu n,1,10462
papú,4,1
cilh,1,4
lcãs,1,4
nzân,1,4
duo ,23,28
“b” ,1,2
b me,9,6
"goo,3,1
o; r,2,2
u: f,1,2
n a7,3,1
reo;,2,1
mau",1,2
ng s,10,8
peia,1,70
22 2,2,1
gilo,20,9
esão,1,22
(c) ,1,2
e --,1,3
oo p,1,17
gime,39,66
s's ,2,1
erío,38,124
12 p,5,7
l gi,64,8
nfer,1253,377
 722,2,1
uz j,3,2
frec,509,1
ex-m,4,21
aíma,4,4
ad: ,14,1
lisz,3,4
cías,149,2
omón,5,1
¿gib,2,1
ez-l,1,3
uayo,12,1
án é,2,1
tra ,3734,1915
vije,2,1
aptá,2,2
rygv,1,2
""op,2,3
le-n,1,5
b at,2,4
osne,2,1
lstí,1,6
«¿po,22,1
m ec,12,15
gh a,1,2
shic,7,2
omur,3,2
-á s,1,2
meli,16,27
imér,2,2
oinc,115,44
a me,1,2
ga m,141,88
picn,54,4
geco,3,1
ulcâ,1,7
ín g,3,1
»¡po,2,1
ui r,9,34
japo,649,505
ríe ,54,1
y fó,2,1
pôr",1,2
cibo,52,23
"nes,1,142
sgav,1,2
y 10,5,1
ânus,1,2
xena,1,2
o ód,1,33
aro”,1,2
"yur,2,2
tesl,5,3
—¡¿p,2,1
76 c,2,1
f so,3,2
¡exp,2,1
 noq,5,1
ivíd,4,46
agar,872,908
rri ,4,60
80 a,4,6
lhen,1,65
doec,1,24
yabi,2,1
sfin,12,6
rues,65,1
xa-a,1,2
pezá,7,1
reti,213,211
onsu,353,268
tuo;,2,1
a xō,2,1
he é,3,20
ameb,2,2
cure,71,168
ês h,1,203
bane,12,10
"имя,1,2
ui a,401,720
ntus,86,58
ué u,69,1
ícuo,3,1
viná,2,1
t sa,5,1
¿pue,1469,1
onéi,8,1
do /,1,103
 mái,1,2
c me,6,3
u id,106,69
stek,1,2
""¿g,2,1
oyéi,2,1
-se;,1,5
volm,2,1
"zac,1,2
ão-e,1,2
k cu,6,2
lins,3,10
e-re,1,5
ipnó,4,1
louc,1,368
 órf,1,28
fláv,1,8
rová,2,198
íbel,16,1
iavi,1,3
as ",29,22
 viz,5,347
biút,1,2
"man,46,49
-ori,2,1
1989,7,9
lelo,14,11
17 m,2,2
oo);,1,2
eslu,12,14
ssol,4,54
 é é,1,7
scim,1,116
asab,105,5
levó,244,1
haga,891,9
ch a,4,3
torc,110,110
nce-,1,2
ra-b,2,11
aliñ,8,1
juri,23,7
s (s,1,3
wal-,3,1
rks",2,2
hih ,2,1
us y,10,1
evóg,2,1
5 pi,5,1
in b,52,9
6 an,1,23
piga,21,27
esén,13,1
scóc,1,33
ixís,1,3
ubur,11,2
dréa,1,2
coam,1,5
"ori,4,3
fech,280,769
mesl,5,1
sesa,3,1
ecno,98,82
que',2,1
ostp,4,1
ñend,9,1
”"vo,2,7
t dá,1,3
ate ,1366,377
a-ma,1,65
azz ,16,12
plet,594,613
lago,295,256
ez à,1,5
wa o,1,2
ão (,1,8
putr,2,4
ção:,1,13
 opo,530,325
tró:,2,1
sr e,2,1
urfe,8,6
usse,7,13
o-so,1,19
agap,7,1
": l,2,1
exót,11,12
aero,260,236
le á,1,2
5 bi,2,5
il g,20,17
uzá ,4,1
víst,13,1
íste,90,14
cceo,2,1
vô a,1,9
viõe,1,48
agel,4,12
mot",1,2
 nuj,6,2
aíce,23,1
panv,1,2
 ¡in,7,1
oj i,3,1
om z,3,9
ençó,1,26
hort,22,26
aimá,5,1
eráb,32,1
pont,106,1191
"hmm,4,6
nfo ,11,5
polv,146,19
iñit,45,1
ui b,2,31
onse,1365,3312
l 6%,2,1
«¡la,2,1
joul,1,5
é hú,1,10
unân,1,5
o iz,68,1
hate,32,126
énel,5,1
too",1,2
sáte,2,1
nocc,3,1
orca,30,41
êmia,1,4
dee ,3,1
urmá,3,1
abdu,24,13
ocab,95,57
my e,6,4
bat:,2,1
zeta,2,6
z gá,1,2
x-us,1,2
akaj,2,1
v e ,1,11
455 ,2,1
an j,142,3
llin,137,9
sius,10,19
tchi,8,19
 púr,12,10
o bn,1,2
ana:,2,2
nimr,3,2
; ve,1,3
líse,2,1
nson,43,35
inim,39,324
peye,2,3
ñé a,16,1
mbot,16,4
naí ,4,1
¿dex,2,1
-a t,1,7
ph a,2,2
lé u,19,1
fenó,50,4
 'y',2,1
ni”;,1,2
zó o,2,1
om f,457,3192
í at,8,2
we a,1,2
pipo,4,41
 sig,1786,618
didg,3,1
ilé ,14,10
as p,5789,6449
ogri,1,2
ecui,2,1
r jó,2,2
jo v,39,52
blim,8,17
ek q,2,1
 apo,363,557
sglo,5,1
os-v,1,2
lubl,9,2
"res,42,51
fa r,5,4
sond,27,25
tsur,4,1
ísca,1,5
lpos,15,4
lf f,2,1
epto,223,22
 rit,82,125
já n,1,515
y ño,3,1
moei,1,5
é yi,1,2
d¹7s,1,2
ta $,3,3
lot ,5,1
rádi,4,202
caçã,1,496
o zu,12,18
 flú,4,2
o ót,1,35
igos,1361,1817
penú,7,9
09 a,1,2
ásal,9,1
itak,2,1
opaj,6,1
<<en,2,1
lqad,2,1
jó e,137,1
ré t,222,2
guci,2,2
a vg,4,1
"¡tó,2,1
14 y,5,1
oroz,9,1
— ¿h,2,1
oíro,2,1
eoló,11,10
rças,1,102
crím,30,1
 azu,360,390
xilh,1,5
cayo,10,1
o: q,7,18
ir k,2,2
greí,10,1
kari,4,8
yasu,3,1
hedo,8,29
cãs ,1,3
ff e,3,1
ngeu,1,3
rocí,30,17
ght",2,1
icci,569,2
cirs,22,1
sort,41,525
 ío ,2,1
ácer,1,3
apió,6,1
sfor,175,502
adno,10,1
28 4,2,2
ulda,1,349
olém,28,2
letõ,1,2
 kei,11,11
mí p,39,1
pass,7,4301
r nú,11,25
baid,2,2
ño l,114,1
67 a,3,3
(x) ,1,3
nzan,630,1
ci p,5,24
ipim,1,2
ff r,2,1
16 a,8,8
'har,2,1
mbó ,24,1
o úb,3,1
ulga,88,234
ive ,754,1375
a ☭ ,2,1
- us,2,1
r ny,1,2
ovsk,1,4
iont,6,8
nade,100,341
 jui,69,78
ámin,10,1
adid,37,19
¿ po,2,1
lay ,5,5
rpio,8,1
 sét,1,38
si u,205,9
tó l,368,1
pule,10,20
tro»,2,1
esuc,27,1
ó az,3,1
aivo,2,37
a 1 ,2,3
ozea,1,2
 vog,1,14
 gle,5,5
hé p,4,1
) pe,3,6
bu s,4,1
«¡gr,2,1
eajo,1,2
t' g,1,2
 354,2,2
vé e,19,1
újad,2,1
cauz,3,1
 klö,1,2
mnés,1,4
lhel,4,2
m jo,4,518
lser,30,1
m ví,2,61
líba,8,7
rvai,1,4
4 qu,1,2
icác,1,12
""(d,2,1
lo 8,1,3
astu,84,46
é su,150,302
eche,620,146
sai ,6,175
le-m,1,7
ará;,4,5
agda,21,11
uler,9,2
xias,20,16
óper,28,39
im -,1,5
 rah,2,1
ztoc,2,1
mé l,27,1
oret,10,6
sven,31,22
( ñ ,2,1
 ""',1,3
r-he,1,4
r ná,6,2
rão-,1,6
olés,6,6
d ar,7,1
ssaç,1,5
reíd,45,1
anol,12,8
12o6,1,2
inak,2,2
 vaq,53,11
rexi,2,5
s"no,4,1
аm n,1,2
kes ,3,2
ogne,3,3
"ide,4,9
naam,2,1
""fú,2,1
eadq,1,3
igad,227,1100
rrup,95,64
 iph,11,14
abov,3,1
 dúb,1,2
paré,84,1
ezuñ,6,1
 c1 ,2,3
"“os,1,2
(pal,2,1
-ráp,1,2
ão à,1,212
lo(t,2,1
"veo,32,1
stem,332,754
i yu,2,2
zila,2,6
 yul,2,1
urét,2,1
omsk,3,4
 0 °,1,2
s ¿e,2,1
t si,9,1
xecr,2,6
no “,3,3
s” v,1,2
 tor,966,1590
 fog,27,501
e7 c,2,2
reer,511,3
– al,1,3
álga,1,2
01 t,1,2
u nã,1,8378
 ciz,4,1
bies,131,10
03 d,1,3
aija,1,3
ne á,1,2
ódig,67,51
ocra,109,106
oh h,2,1
"¡pr,9,1
a: q,5,15
oraq,1,2
bês",1,2
aeda,5,3
iscá,1,3
táss,1,20
sée-,2,1
d id,3,1
vanl,2,1
te-m,1,109
) di,1,6
npan,2,3
-000,1,3
ñal ,105,1
ishm,2,1
esté,730,21
os¿c,2,1
ulum,9,2
lali,9,2
ma: ,10,15
ú so,48,1
lúa ,3,1
"gep,2,1
ucru,3,4
tsuy,3,5
is w,2,1
ys"",3,2
shor,1,5
rd l,2,2
ecib,768,24
"je",3,4
ô fu,1,2
deá-,1,2
yogo,8,8
"mód,1,2
— qu,1,13
80 c,6,2
vori,428,412
""eh,5,3
yuyo,2,1
pis:,1,2
no x,1,50
-46 ,2,1
cinu,19,1
oca:,2,2
ranç,5,977
ysle,2,1
ne /,1,2
y cu,371,6
v qu,2,6
ável,4,1730
-lác,1,2
li f,4,16
moth,1,2
nehu,2,1
umá-,1,2
tá s,637,1263
ó ri,8,3
elto,321,5
 láa,1,2
 suí,2,89
vógi,2,1
in à,1,3
waji,2,1
 198,48,38
enós,3,6
ha 5,1,3
acay,2,1
u ye,3,1
¿lor,2,1
xéra,1,2
cé b,2,1
g jo,1,3
dís ,3,1
oxin,7,7
hual,2,3
lons,2,1
cteo,5,2
ck h,16,6
cabe,1099,1797
de ',6,9
ul n,5,13
tás-,1,2
youn,3,2
- 25,1,2
e bu,712,124
aún ,945,1
pse ,13,13
dash,3,2
asov,1,2
¿hir,2,1
vark,2,36
-sa‘,2,1
 qua,1,3
ufro,13,9
ês-j,1,2
¿ide,3,1
os— ,4,2
shdi,2,2
e x',1,2
sa 0,1,3
nhe-,1,5
cepi,112,2
upup,2,1
har-,1,40
ra-s,2,131
wood,21,15
galô,1,2
лся],1,2
uijó,2,1
tósf,2,1
oy s,736,1
lerã,1,3
""by,1,2
berá,34,67
rbic,4,6
3) p,1,2
g to,6,4
"¡mí,8,1
)dej,2,1
ajú ,2,1
údic,4,1
hosí,1,2
aren,466,402
fixa,1,40
acór,1,2
duíc,1,117
rey),2,1
m ov,1,126
tabr,2,1
mu d,3,1
uir;,1,3
á ex,35,127
cha ,1655,1381
ma 1,2,3
agos,206,148
loch,9,4
ânfo,1,3
oh v,8,3
bole,375,145
oveg,2,1
miav,1,3
uísi,40,2
snap,1,2
udea,8,1
 ´ ),2,1
qui;,1,7
ariç,1,10
enzo,147,4
ncól,20,8
10 y,7,2
narv,6,2
favo,3318,3276
útal,3,1
btra,2,23
depi,27,10
irce,3,2
 mig,69,40
ov x,1,2
pitu,13,8
 váz,2,1
l 72,2,1
m fi,54,1345
bad ,10,2
ioch,57,3
dia-,1,31
iew ,2,1
uriã,1,2
dupl,27,56
d d',2,1
vixe,1,3
quta,2,1
filó,53,43
hino,334,37
20 1,2,1
 okr,2,1
fmi ,1,4
s"¿u,2,1
oge ,127,22
60 s,2,1
¡yah,3,1
ehue,5,4
ada:,9,10
l sq,2,1
pc n,1,2
spol,3,6
ro 9,4,1
loda,5,1
séne,2,1
50 a,19,14
uíza,2,3
taks,2,2
ήσου,1,2
shen,6,1
róxi,552,956
va e,1,2
oxon,2,2
pinh,1,101
gene,599,194
ceño,9,1
"ped,26,47
bway,2,1
lma ,153,186
chão,1,319
zé é,1,4
hn g,3,5
dile,211,20
déja,355,1
ie; ,1,2
cact,13,5
try ,2,1
ad u,63,1
céan,102,1
epát,6,3
mpeç,1,6
/ ja,1,3
"fic,1,85
é) d,1,2
m pâ,1,35
tocr,19,17
info,599,447
/ ve,1,19
ergh,3,1
cata,242,96
oy n,281,1
»pue,2,1
"ond,2,397
to g,120,352
ituâ,1,21
'fil,2,1
nite,15,16
atlá,29,1
to/m,2,1
 si ,3819,421
¡inf,3,1
ntip,17,15
""sé,12,6
e: <,2,1
u ep,3,5
tu e,314,135
3 vo,1,2
17 n,1,2
o qe,1,2
fé –,1,2
byro,3,2
xa e,1,104
scup,27,1
nqua,1,792
bián,4,1
dá $,1,2
hé m,7,1
afar,8,36
nfér,6,3
taxí,2,3
ritó,96,410
ajof,2,1
rth",2,1
i ah,16,1
s mú,46,73
lo g,135,60
 cer,2395,3384
ilbé,2,1
isan,51,89
98 a,1,2
cyon,2,1
pure,11,7
a át,1,2
i 18,2,1
gogi,4,3
quát,1,18
aplu,2,1
z ót,1,3
aref,1,205
balm,1,3
 ß n,1,2
ido–,2,1
z "",3,42
/ on,1,12
cíci,1,150
""rs,1,2
g ap,1,3
spá-,1,2
cora,752,1143
é út,1,40
arde,2040,1445
¿der,2,1
"¡la,20,1
zá l,13,1
án z,2,1
na 6,1,2
so"b,2,1
lfre,11,7
+5) ,1,2
su o,290,1
scis,25,10
 x +,2,1
ulk ,5,1
e el,7128,7389
opeu,1,75
iane,10,12
ocyo,2,1
my i,4,2
avar,278,317
"ted,3,2
"bem,1,92
"kuw,2,1
"scr,6,7
ën 2,3,2
» pe,2,1
"¿sa,99,1
 ang,101,71
 têm,1,1503
r ao,1,1121
va) ,2,2
s 95,5,3
tmun,1,3
¿he ,11,1
a ec,267,94
gadi,32,28
doku,6,2
rkou,3,1
ita-,1,106
hicu,7,1
-nec,2,1
l li,788,48
d al,63,2
piái,2,1
utai,1,10
eer ,989,2
cuyu,3,1
lde",1,3
erza,357,1
adab,315,4
uars,20,1
1957,4,5
simb,32,18
roy ,6,2
záva,1,2
 127,3,3
lça-,1,2
uço-,1,2
esmi,5,6
agie,1,2
dapi,2,1
í qu,1013,11
o»¿e,2,1
pez ,82,3
nifo,75,51
jine,34,1
kelv,2,2
áfid,2,1
x do,1,2
”que,1,4
 no;,4,1
"ovn,1,2
900 ,6,5
efen,176,159
ucié,14,1
dim ,4,153
appi,3,1
ipal,295,221
angü,1,2
nape,4,1
oyug,1,2
ívid,7,111
lteó,6,1
s gé,12,1
16 l,2,2
libi,11,20
 ahs,1,2
xo q,2,25
ômib,1,2
"pre,129,358
coce,25,18
esap,278,349
¡igu,4,1
lmox,1,3
egró,20,1
: ce,4,5
 out,1,3538
ô re,1,2
umch,2,7
"zer,1,3
r mã,1,23
8 ni,3,1
úrpu,12,10
ruy ,3,4
 tal,875,885
​ eu,2,1
nseq,2,75
fadı,1,2
ei e,2,934
e té,151,19
sgon,5,1
kian,3,1
ior",1,3
ll-u,2,1
fa à,1,2
derg,2,1
diâm,1,11
ocul,277,86
rmin,1587,1588
tror,2,26
oy h,517,1
ousa,1,135
ge w,4,6
io é,7,468
cídi,1,134
aca ,213,232
tó 3,6,1
e lv,3,2
6322,1,2
ops ,1,2
kyok,2,2
ja-o,1,5
rzas,127,1
aut ,2,2
¡hie,2,1
rock,31,34
ebla,89,1
balt,2,7
r; n,5,11
rg l,3,1
hó l,49,1
4% n,1,2
chme,1,6
rmal,436,362
¿la ,126,1
za é,2,66
uixt,2,1
bērz,1,2
 anó,17,2
feló,2,1
guó ,7,1
l op,42,5
nlaz,2,1
liav,1,2
tutm,2,3
z ig,3,1
 péi,2,1
je a,293,86
aísa,1,2
z u ,2,1
alkm,2,1
enju,18,1
iro;,2,14
aela,3,3
ño ó,2,1
"é q,1,13
et f,3,7
»"si,3,1
ubam,4,12
ibuj,235,1
je s,72,48
n'aj,2,1
rjai,1,2
 yuk,4,7
ausé,2,1
1869,2,8
oaud,2,1
ridi,36,32
eíte,1,2
¡¡qu,2,1
jita,33,1
do);,1,2
ái d,3,1
nhis,1,12
oé; ,1,2
rdéa,2,1
augú,1,5
émpe,4,1
chos,2090,66
ulog,3,3
u od,9,137
ahil,2,1
paol,5,8
ni o,19,3
 é n,1,2
agré,4,1
dáli,1,22
e-ve,2,10
anês,1,19
«¡ve,2,1
ajur,2,9
torm,209,51
xina,7,10
ce-m,1,45
spia,37,17
égue,5,1
ebú ,2,1
icht,4,7
 roe,14,26
s 48,3,3
nóqu,1,6
cê r,1,360
egid,122,30
o ce,388,1455
líti,489,335
é cd,2,1
a1 y,2,1
uy b,1049,1
luac,4,1
máci,1,49
upad,938,1219
y sã,2,91
xe-a,1,16
blev,3,2
a ar,718,984
hané,2,1
dodi,2,1
éeno,2,1
 isó,5,6
ink ,6,10
taló,55,1
beça,1,754
kulp,1,2
ís x,1,2
níba,10,4
2 mú,2,1
ufts,2,2
iunv,2,1
olo",2,2
o bê,1,52
ei b,1,95
ânct,1,3
emud,2,4
teló,5,1
a ya,388,8
egê-,1,28
haia,2,6
añif,2,1
acur,10,6
ok f,1,5
e ax,3,2
rã: ,1,2
¡ens,8,1
hedu,12,1
ósmo,2,1
ocoo,1,6
duon,1,4
nash,4,1
ágan,7,1
uy é,2,1
zê-l,1,304
yon ,1,2
s 17,8,6
llyw,11,8
m àq,1,6
l ae,211,1
r (2,2,1
ô go,1,5
tt n,1,4
oz-m,1,2
éjà ,1,2
hã q,1,10
u: ó,1,2
veli,33,19
 opt,82,15
é dr,3,5
(cer,3,2
ã fr,1,2
tpha,1,2
"¿ju,9,1
a) d,3,3
 «ll,2,1
mbea,13,5
ou e,1,2
ôlei,1,26
à 30,1,2
hitó,4,1
guiñ,22,1
 fez,1,2181
l ob,114,14
 irm,203,2468
xi c,6,13
o"yo,2,1
 law,2,2
uraç,2,64
ehua,2,2
u za,1,25
pa g,3,5
senn,2,4
brí ,93,1
enfr,182,86
insa,29,44
sune,2,2
um â,1,9
iais,4,369
 edr,14,4
ús p,22,1
7777,5,2
lnut,5,1
oart,25,2
 saa,3,7
úrne,2,1
¡ten,76,1
usõe,1,52
guió,308,1
ltá-,1,13
/ ta,1,13
 2 o,2,4
ron;,2,1
tã p,1,2
afló,5,1
aliv,94,53
f ll,2,1
à cu,1,17
grij,1,2
ojot,2,1
faqu,1,9
10h4,1,3
dmil,2,1
alcâ,1,2
rumi,4,7
-don,2,1
o”) ,1,5
 cid,1,1796
téci,1,2
rémo,31,1
ptan,41,3
 tej,143,4
ose ,232,37
++ y,2,1
) ma,1,4
 ¿de,74,1
ausa,494,736
acíf,67,64
jeia,1,6
sei-,1,21
ndém,10,1
llus,2,2
siss,3,7
ukeb,1,2
ê ao,1,16
srop,2,2
mãe;,1,3
r rã,1,2
-no ,4,86
r; o,3,10
ecku,1,4
rroñ,3,1
 cóc,11,20
dhes,4,1
θ é ,1,2
afir,119,158
rojo,359,4
 táb,15,17
joko,2,2
lamé,81,1
hi q,2,1
ns o,2,59
uric,31,3
ntoe,1,2
u: h,1,2
btóp,1,2
foir,2,1
ã pr,1,4
prés,53,28
¿adó,116,1
(des,2,3
"mup,2,1
ifis,9,7
"er",1,3
 asm,14,13
pego,16,446
ob j,1,6
b ef,1,3
ioca,10,22
igáv,1,68
gall,359,4
lvéd,5,1
wi-f,5,4
oast,3,8
sane,11,4
euma,7,5
urga,18,5
 „se,2,1
izo",2,1
seda,72,44
lê e,1,18
kalo,1,2
wako,3,1
ío m,78,1
e ro,954,477
itui,50,136
ticí,1,12
bóve,4,1
o (i,1,3
ffit,2,3
lê p,1,4
et"",8,6
 (se,3,11
ada-,1,7
: sã,1,4
nciã,1,33
¡sco,4,1
a; e,31,65
ímat,6,2
1843,4,2
hham,1,3
natô,1,2
o-am,4,11
gait,15,10
w wh,1,2
5 g ,2,1
lgun,2527,1027
a 42,4,4
pund,4,1
iza ,224,122
catl,2,1
"«¡l,2,1
etên,1,22
uci ,1,2
"tia,1,4
 wi-,5,3
iāpō,2,1
'' n,1,3
e ei,24,39
iã e,1,3
pro ,52,95
ma b,47,1389
a eb,7,1
014),1,3
egur,1719,811
; ig,2,1
plit,2,3
r 80,1,2
nt h,3,2
m ep,1,4
pad ,12,5
état,6,2
-pac,1,3
ónyu,6,1
ono",2,1
íbia,1,18
 a p,2266,4687
 dob,170,133
0 id,3,8
iks ,3,1
hiav,1,2
unga,3,16
hamp,62,37
" (l,4,1
na"",30,20
 súd,1,5
s is,111,445
lé y,5,1
ardi,319,552
02 a,1,2
ti; ,4,2
ço é,1,47
"i"",4,5
z ér,2,1
 híg,17,1
asém,8,1
ovê-,1,7
azoo,2,1
ícan,12,1
 ait,3,1
anov,5,6
 “ac,1,2
4 ó ,2,1
ncei,1,153
ed s,141,3
uali,266,314
áque,13,5
ax e,1,7
"inu,1,2
 g l,2,1
ispe,77,81
ô in,1,4
moin,1,22
aist,1,2
19:0,1,2
okai,3,2
inni,3,4
 sâo,1,2
¿le ,296,1
alug,1,192
elso,4,5
olta,61,1885
 1x1,1,2
me 1,2,5
anat,24,28
s ru,216,209
nipó,2,1
zika,2,3
ica»,3,1
 424,2,1
880 ,2,1
ir'',1,2
áfri,113,109
rbus,34,31
lão ,1,151
ave:,2,1
au n,1,8
nde",4,1
iave,4,12
eláz,2,1
"âni,1,8
vísp,16,1
répt,1,23
 11/,2,1
 kle,5,2
tô j,1,2
»aba,2,1
tts",1,2
pp v,2,3
nça",2,2
utiã,1,8
tb"",1,2
110 ,6,5
cús ,5,1
"art,4,7
fasi,14,1
—¿se,2,1
ó dí,5,1
tao ,3,2
wss#,2,1
heci,15,998
271 ,1,2
ionó,187,1
cocc,5,1
"fir,11,1
ótus,1,5
-á u,1,3
7 en,5,1
sons,12,42
blue,4,9
eo m,89,8
n só,123,2
e 14,12,17
dá"",2,3
a ĝa,1,2
íjam,4,1
ehuy,2,1
dame,1413,794
s sí,77,16
 höl,2,1
asam,198,339
nity,1,3
ije",1,2
viré,19,1
á pr,351,708
bdul,1,3
leur,5,1
ssur,2,66
sfér,19,47
da a,1442,2833
"-¿q,4,1
ê me,1,878
amuz,5,1
ar x,1,51
á tr,137,423
iu t,1,146
ávei,1,330
in z,3,1
oltu,9,4
- la,9,1
nem ,3,1754
5% d,14,16
javé,1,2
felo,3,1
v ba,2,1
s bê,1,28
eata,3,5
s «d,2,2
¡ata,3,1
h ii,3,2
 ¡ba,3,1
pamu,3,1
sgot,1,65
h le,5,1
«y l,2,1
"b"",3,4
ísto,2,7
bené,6,19
" os,1,3
"rem,3,2
sto:,10,9
lezó,2,1
uile,65,25
narr,26,48
lgó",2,1
[я к,1,3
 (el,6,3
 (ta,2,3
o sl,3,6
esân,1,3
a dí,246,29
zios,1,11
arág,1,24
ta ú,15,9
so– ,2,1
inev,43,28
nsfo,79,161
ated,43,46
""ae,1,3
á "",6,4
remó,3,1
"de",1,3
oond,27,3
alpi,49,44
"«to,4,1
zaze,1,2
"edr,1,2
hitn,4,1
tí i,4,1
ígio,1,51
zalo,7,2
há 2,1,9
eńst,2,1
8 es,3,4
norm,721,609
sim",1,12
ucil,6,2
nfan,154,53
osor,6,1
azi ,2,1
 sil,666,382
vill,389,9
s; t,11,11
"luc,22,12
breb,4,1
800-,1,2
8 × ,2,1
íman,1,6
ugá ,2,1
28 d,12,13
ce á,2,2
rbán,3,1
ia g,44,202
¡ay ,14,1
ajue,2,1
k zu,3,1
m f3,1,3
fara,93,162
 doá,1,5
ha ú,1,33
zurr,2,3
ha –,1,3
: gr,1,2
uau ,4,1
 “du,1,2
ósco,8,8
 e z,2,11
tu r,159,11
culá,2,6
de p,4360,4702
azôn,1,23
1597,1,2
cẽ p,1,2
eosc,2,2
itl ,21,1
s —p,2,1
0 so,6,1
uéri,1,10
"bis,2,3
tán ,2710,1
ijas,138,20
yib–,3,1
¿dé ,2,1
foré,2,1
"kok,2,2
zest,1,99
ue ú,11,2
unke,5,2
í pl,4,1
poid,2,1
 ovi,4,2
8 fi,3,2
 ¡ce,3,1
hábl,23,1
pá é,1,3
emi:,1,3
i-hi,1,4
 nue,2,1
himk,1,2
augh,2,2
w ag,1,2
ê-am,1,2
19 l,3,3
utun,2,1
ejav,1,83
tedo,22,6
haum,14,1
"tén,2,1
í eu,1,8
mats,7,5
ô po,1,3
kopi,2,1
"xiu,1,2
oblá,3,1
0 un,3,2
aluó,2,1
ecól,3,1
alom,99,4
¡cor,16,1
emol,50,19
d sí,4,1
apó ,96,1
1857,2,1
z 27,1,2
xéqu,1,2
inoz,2,2
80 y,2,1
me-o,1,8
círn,5,1
 kao,4,2
 súb,25,24
tbul,3,1
pli”,1,4
 1-8,1,2
¿sir,5,1
"och,3,1
j a ,6,1
ns 3,1,4
desn,122,42
eñís,2,1
1500,5,11
l hu,253,6
3 ta,2,1
¿y m,2,1
" (i,2,3
esõe,1,7
emon,151,115
atah,2,3
nocé,74,1
eya ,9,1
""aú,8,1
li ",1,2
 hry,1,2
 nei,4,7
au-a,3,6
saib,1,271
ó mo,19,21
ная",1,2
ã be,1,7
mása,2,1
oich,2,1
19x1,3,4
ou l,1,568
mecí,7,1
qaid,2,1
¿una,4,1
cese,54,74
abre,297,173
u; v,1,3
» «¡,53,1
ataj,25,1
cícl,7,2
ixir,3,5
500),2,2
eepy,1,2
fa p,6,12
lapl,1,2
k si,2,1
de 6,23,40
to"o,1,2
lés:,2,1
ncru,10,7
 lá",1,2
 bof,21,5
uich,7,7
aão:,1,11
xcur,50,19
hnom,4,1
7 ri,1,2
4 ya,2,1
ar);,1,2
-sef,1,2
sefr,1,2
ra t,2071,1731
í ag,5,6
scho,6,2
"«oy,2,1
p ru,3,1
a 59,3,2
po -,1,2
ktop,1,2
elão,1,23
omoç,1,47
e g7,1,2
draj,2,3
¡láv,6,1
vedl,2,1
odom,18,17
¡cua,10,1
tô l,1,3
 orq,41,35
 agn,8,7
 ned,4,1
log",2,1
uthb,1,2
2 cr,1,2
idó ,196,1
anfl,6,6
ait",2,1
rtat,36,1
kyli,6,3
zone,148,2
 tud,1,2866
angr,403,82
l - ,3,10
po 3,3,5
stán,2698,1
«¡le,2,1
pmin,1,2
más),2,1
emáf,83,23
