Quadgram,polish,czech
żiów,2,1
mopu,2,1
 káz,1,4
 puc,8,1
łyk ,4,1
ehty,1,8
iola,7,2
20 l,21,2
ehnk,2,1
ń du,3,1
zont,12,2
ázku,1,78
ą wb,3,1
no ś,16,1
 cíl,1,31
; ja,1,2
vnat,1,9
ć ob,60,1
m ža,1,5
msza,3,1
 zhy,1,4
aleg,30,1
ujmę,2,1
 obě,1,126
mę d,7,1
dżal,4,1
my j,178,31
uada,2,1
oblé,1,277
etác,1,3
y"cz,2,1
iše ,1,2
ámí ,1,2
rámc,1,2
ęzi ,4,1
żo ł,2,1
wa z,85,1
błah,6,1
rł t,19,1
łatę,11,1
jajo,3,1
w wj,2,1
e os,166,49
ozi ,8,2
okuš,1,26
ptač,1,2
b ży,6,1
ečet,1,62
ířit,1,5
"růž,1,3
"lau,1,2
ziow,3,1
žízn,1,8
popk,1,2
č to,1,122
zetr,32,1
ął z,40,1
ertě,1,4
í cd,1,3
zást,1,3
aw t,16,1
ůstř,1,2
zvýš,1,16
dą i,6,1
"sic,1,2
išov,1,3
il e,1,4
d ża,5,1
 hři,1,3
tř č,1,2
bulę,4,1
 zaz,103,24
mana,9,6
ndię,3,1
jano,3,2
ateń,3,1
a ak,26,3
ntyf,7,1
retá,1,9
idan,3,1
vá g,1,2
igaj,2,1
tiví,1,3
ń wy,6,1
myjt,1,6
edéc,2,1
áhá ,1,19
pecą,2,1
 mot,47,53
zahn,1,9
adél,1,2
endą,2,1
żyłe,104,1
bfit,19,1
aprš,1,3
t"" ,4,2
pubu,3,1
ivoč,1,9
ę co,148,1
klac,10,2
áhl ,1,25
ílá ,1,12
son ,34,4
v yo,1,2
ymac,6,1
yn t,2,2
 výž,1,2
áču ,1,2
anžm,1,2
j em,2,3
hovc,1,10
ef p,4,2
iotę,2,1
nnam,35,1
zyng,7,1
míná,1,96
osuš,1,3
owię,8,1
łaza,5,1
ramá,1,2
okoh,13,4
butý,1,2
zink,3,5
 ośr,4,1
mace,7,17
ákli,1,3
czli,26,1
č ná,1,11
 koy,2,1
wójm,2,1
karl,3,5
příb,1,84
eży;,2,1
i fu,7,14
"bar,86,3
 two,2,1
já j,1,81
š mů,1,3
łodu,41,1
ół o,11,1
píva,1,85
tálý,1,3
ne s,177,50
lubě,1,4
 eas,3,1
 gma,4,1
kwiń,3,1
isne,8,1
 kav,1,7
lią ,2,1
svář,1,2
í tá,1,3
wydź,2,1
kvař,1,2
wszą,39,1
ucaj,12,1
k be,18,6
eřmá,1,3
ko ż,19,1
głęb,83,1
g wa,3,1
lená,1,20
ubec,2,1
ulon,19,1
eś n,204,1
 pąk,4,1
nce ,15,96
zdab,3,1
asar,2,5
i tl,3,5
rž p,1,2
sbij,4,1
ntny,44,1
ż cu,5,1
d ti,1,6
hýni,1,3
aga ,110,2
llen,4,1
r zg,4,1
szęd,60,1
bě ř,1,3
d dl,4,2
rzy”,2,1
nnyś,8,1
u mu,23,39
chab,1,2
y op,36,23
yi g,2,1
 ožr,1,9
icar,2,2
dzny,2,1
olym,1,5
osel,1,4
fahi,2,1
“ ne,1,2
oetą,10,1
tkoż,4,1
erzą,80,1
iebn,2,1
čným,1,7
hu z,4,35
í fá,1,2
one',5,1
euhý,1,2
a gó,75,2
po n,88,17
blb ,1,2
may ,3,1
r de,2,1
žu b,1,6
'iem,2,1
zom ,3,1
asay,5,1
arto,142,24
 uch,48,20
wpęd,3,1
ćpra,2,1
ąsnę,3,1
ciu",2,1
pí d,1,6
soum,1,3
ri j,4,4
zyk ,123,36
ąć o,26,1
al ',1,2
ěkké,1,2
herc,1,7
h cz,67,1
měř ,1,28
edia,21,1
 fuc,2,1
hurl,2,1
livo,1,52
acod,3,1
edel,2,3
yrod,24,1
mio ,3,1
wkop,2,1
rotk,3,5
ęczy,77,1
kosa,3,3
me t,2,312
půso,1,109
j zí,1,2
zatl,1,2
madr,5,2
yb t,1,2
érżb,2,1
gułe,2,1
žadu,1,20
 wza,18,1
oteł,2,1
zu t,8,6
kces,129,1
fall,2,1
"ví ,1,17
avte,1,9
kacy,11,1
vadí,1,28
s wł,4,1
hcę ,2,1
řetr,1,5
gnio,25,1
zaic,2,1
łszy,15,1
jkow,2,1
zm n,2,1
gel ,2,1
 vůl,1,15
ť do,1,3
znna,2,1
wozu,5,1
ki 2,3,1
n w ,69,1
n di,8,1
)"pr,2,1
ázan,1,7
agba,2,1
lik ,46,458
a ek,21,2
odíl,1,4
 u f,7,1
z uw,16,1
zyta,736,1
"jóg,1,2
uwał,9,1
dešt,1,83
uzik,14,11
ám u,1,47
ejdě,1,5
dłej,2,1
jcow,4,1
""up,2,1
 haj,2,3
ířst,1,2
ikde,1,18
tvrď,1,3
hron,93,3
up g,2,1
tí b,1,19
dčit,1,29
amur,4,1
d kv,1,2
isná,1,2
ště ,1,687
ct m,1,11
 kňu,1,2
hudo,1,7
u en,2,3
 noč,1,31
c da,8,6
igną,4,1
vlk ,1,7
rýmu,1,6
uřív,1,3
umpo,5,4
dešn,1,2
basz,3,1
z vl,1,8
n s ,1,20
aroż,12,1
„10 ,2,1
ne ś,19,1
zavě,1,3
řeht,1,2
ik j,38,75
ą tł,3,1
rażę,2,1
""tą,2,1
ília,1,2
ia j,212,3
łode,24,1
- w ,4,1
licę,46,1
rałe,116,1
ěčně,1,17
zl v,1,3
"rus,5,9
laos,2,1
ła z,368,1
e pí,1,28
bí š,1,2
umba,5,1
zoo),2,1
 dop,145,274
ašlu,1,4
ieśc,423,1
uł s,47,1
dfou,1,2
 léz,1,2
ky ž,1,4
nkcj,25,1
ensu,71,1
hip-,3,1
ocyk,13,1
żąc ,4,1
unks,3,1
ůle ,1,2
tne ,45,2
schá,1,12
kodl,14,2
l nu,2,5
cją ,25,1
uż g,26,1
ję r,21,1
uklę,4,1
ž pe,1,4
amoi,2,1
odtł,2,1
dě ž,1,3
miąt,9,1
ą wo,54,1
vyrů,1,6
smir,1,2
šedé,1,3
 119,2,2
 myc,9,1
étla,1,2
ohne,9,6
tít ,1,14
u ud,18,42
mugę,2,1
lasą,6,1
ól g,14,1
t wó,2,1
nu r,6,4
lk s,3,2
hröd,2,1
ą um,17,1
 jal,1,2
chów,22,1
amha,1,2
łyby,9,1
udżi,10,1
om; ,2,1
nawc,9,1
ązan,96,1
all",2,1
i śp,31,1
ozwa,91,1
łnę ,2,1
orů“,1,2
rlov,2,3
śmy ,1846,1
 nev,1,858
miaw,2,1
auką,17,1
dil:,1,2
ná u,1,13
t cy,6,1
venu,1,5
ejme,6,50
zwól,117,1
liżs,45,1
bavt,1,2
s bý,1,16
stąp,138,1
"faj,8,1
kujt,1,2
oreb,35,1
ímko,1,2
ozma,612,11
o 41,2,1
příp,1,45
umoč,1,7
eeto,2,1
šlap,1,3
"lud,59,1
wboj,3,1
éf ř,1,2
o ok,78,30
ządz,100,1
piro,3,4
édii,1,3
ef k,2,1
 5 c,2,1
ol d,2,1
ezyw,2,1
y su,20,3
gott,3,1
ochn,1,3
řípo,1,2
/ na,2,1
leźl,47,1
ytkó,3,1
zpik,7,1
m 14,2,1
ucim,2,1
v ru,1,24
-ósm,2,1
ešat,1,5
ysię,45,1
skep,1,4
11 l,3,1
ą he,23,1
śbie,8,1
cala,4,5
luse,2,1
pí š,1,2
dsta,150,96
g dl,2,1
ý vš,1,2
opcj,16,1
lcie,15,1
oetę,5,1
tiko,11,5
ę oż,17,1
m yu,3,1
ly-s,2,1
opló,4,1
edmu,1,2
akzv,1,3
(zná,1,2
zagr,163,1
ń po,23,1
álá ,1,2
‘ po,1,2
yb p,5,1
"dov,1,19
říně,1,10
sunk,40,2
r še,1,3
pizu,1,3
ocą ,15,1
id m,2,2
íp f,1,3
cić ,263,1
dre ,3,1
 pěk,1,45
le ř,1,12
lnyc,71,1
"zna,126,5
a łu,2,1
 idi,46,18
dyle,4,1
oláš,1,8
ahrb,1,2
ż in,5,1
brzo,10,45
damy,35,1
zavá,1,11
ralý,1,11
grep,1,2
andk,14,1
sbír,1,17
š so,1,4
rozm,725,42
bí o,1,3
h dr,25,2
mec ,1,4
utam,2,4
k m ,2,1
"jeź,4,1
f - ,2,1
lé z,1,5
ęk n,2,1
ę zę,3,1
spít,1,3
łż w,2,1
a mż,2,1
a"je,2,1
"nij,3,1
neuk,1,16
cí v,1,23
kcew,12,1
í dí,1,25
a zw,64,1
ć ca,24,1
ie 2,7,1
hářů,1,2
pojt,1,2
'a m,2,1
 scy,4,1
nogę,37,1
tíra,1,21
eršt,1,2
łuc ,2,1
a žá,1,24
rnil,1,9
""ty,11,14
vavý,1,3
š be,1,6
o 97,2,1
juki,1,2
torz,28,1
ł wb,2,1
vhoď,1,2
i łą,2,1
mů j,1,6
obii,1,2
upou,1,11
odin,2,434
oumě,1,2
 dół,33,1
ef j,6,2
zbít,1,4
żośc,3,1
ze -,4,1
blin,1,8
 2 s,2,1
ydło,15,1
usli,2,16
í ab,1,4
eleg,38,7
ąc u,6,1
udým,1,7
 „cz,2,1
 fla,22,5
yl g,2,2
krav,1,23
š dv,1,3
poly,1,10
zbłą,2,1
ecra,2,3
h vo,1,5
 šic,1,3
ć tł,7,1
rh s,1,2
stą ,49,1
š in,1,2
diab,43,4
pěšk,1,39
ybná,1,2
ámů ,1,2
ujmy,36,1
3 ty,7,1
tein,9,7
zezm,1,2
s js,1,47
áce ,1,85
dené,1,15
iju ,1,33
 kiu,3,1
mins,1,2
ynch,3,1
rump,5,9
slam,6,1
kant,7,11
zyci,439,1
kalk,10,3
nyśm,5,1
ys k,1,3
mými,1,8
e” -,4,1
ą gl,2,1
 šíř,1,4
říli,1,209
iczo,35,1
ížná,1,3
e… t,1,2
 jos,3,4
afne,2,1
"si ,2,1
isťu,1,3
štěk,1,20
mo ś,3,1
re k,11,1
v př,1,42
żde",2,1
ry t,82,55
 stě,1,52
tivn,1,51
 awa,24,1
okoc,16,1
wórz,39,1
rmě ,1,9
kufe,8,1
czba,41,1
í ti,1,20
4 do,2,1
dodu,1,2
zęsn,2,1
onau,16,5
"víd,1,2
xowi,2,1
zumu,10,4
yliz,4,1
ímhl,1,5
pežn,1,2
 saz,1,3
 - i,3,1
eviz,1,80
tub ,1,2
yty ,33,3
ekcy,13,1
rema,8,2
ubrá,1,2
e vž,1,49
í se,1,388
arig,2,1
ítem,1,2
ekst,46,2
rek ,96,25
iera,506,1
rtym,14,1
casi,1,2
 elf,4,3
n sł,38,1
ul i,1,2
ičen,1,19
do g,99,3
znoś,110,1
h čá,1,3
 165,2,1
nijk,4,1
iheň,1,2
zbon,3,1
má b,1,25
rdła,2,1
n us,16,2
chec,3,1
za 6,3,1
tlny,3,1
płe ,8,1
ille,13,3
i da,53,71
okin,9,2
 a v,1,89
zsin,2,1
fázi,1,2
„pří,1,3
gał ,38,1
a 12,8,1
m zÿ,2,1
í šk,1,36
grup,70,1
učil,1,172
obos,5,1
onov,1,16
opni,105,10
ozzl,1,17
ł wk,3,1
dvaz,1,2
plec,56,2
rpki,3,1
ly a,1,14
spłc,2,1
uini,3,1
eliš,1,4
a dř,1,7
e só,2,1
askę,19,1
truo,2,1
ębić,3,1
l cu,2,1
io z,25,2
ná s,1,72
uńci,2,1
iańs,13,1
dtań,2,1
í 80,1,2
ccy ,4,1
t od,124,37
rw t,4,1
30 t,2,1
sexe,1,2
zkic,9,1
ez z,37,6
ykaz,24,3
 tís,1,2
ęć u,3,1
o zi,56,3
ohot,1,46
tu v,1,57
can ,2,1
láke,1,2
 pri,6,22
jo ć,2,1
e: p,2,2
piln,67,18
 šir,1,13
blke,1,2
šť z,1,2
nehy,1,2
 god,473,1
ěvek,1,2
 ort,7,1
 „al,2,2
 u t,14,12
 - w,25,1
se ž,1,25
á uš,1,2
rozn,6,67
iekó,5,1
l zp,1,26
jnyc,17,1
osyp,9,1
u uw,9,1
gumy,2,1
clen,2,2
 utk,8,2
ojco,4,1
ura ,99,3
 chr,100,38
rďte,1,3
nicę,138,1
an ź,2,1
láni,1,2
očál,1,3
demč,1,3
5 dn,2,1
s mé,1,2
kieł,8,1
kopř,1,2
vyva,1,5
krét,1,9
yc b,3,1
fel ,22,1
atlo,2,2
ewes,2,1
ěř ž,1,2
ubu ,23,2
žko",1,2
śnim,2,1
cę p,85,1
ě tu,1,18
ysfo,2,1
etři,1,16
ooto,2,1
o fo,9,21
ad ż,3,1
bete,2,1
šáte,1,4
nd t,2,1
chým,1,3
dlom,1,3
ý ar,1,2
ůvky,1,2
 v e,1,15
"meg,6,1
m ug,6,1
zenc,4,7
utla,1,2
ybkę,3,1
ilů ,1,3
perf,19,7
l ty,4,30
k ře,1,10
orte,65,1
y 3 ,3,1
"šel,1,28
kráb,1,12
i 1:,2,1
drž ,1,14
gdał,8,1
zy r,177,16
t vy,1,36
ejge,1,2
nli ,1,2
poby,21,7
rgii,35,8
ědří,1,2
ýt r,1,15
moz ,1,4
č ex,1,2
aequ,2,1
egdy,9,1
ji o,15,53
hnij,4,1
epła,8,1
ěnli,1,2
esch,3,8
 hru,1,42
 ton,73,13
 vce,1,5
łoko,2,1
łunk,4,1
n id,15,1
mu š,1,7
urla,2,1
tą g,6,1
šéfo,1,8
ipko,2,2
ěsné,1,4
 moc,115,407
ino",2,1
oitą,3,1
suna,5,1
opa ,13,2
toja,2,4
u sn,3,18
ngla,4,1
e dý,1,3
azło,3,1
odgó,2,1
biał,194,1
ykni,12,1
 z ž,1,2
kulh,1,2
fe m,1,5
ivos,1,55
uzmy,2,1
lues,2,1
a: §,1,2
ic p,59,15
taky,1,52
y pł,52,1
obar,4,3
 k h,1,8
š up,1,2
róża,13,1
nožk,1,16
ánká,1,2
wych,533,1
- rz,3,1
h uw,6,1
zvíŕ,1,2
kníž,1,56
llow,25,1
íš p,1,58
opuc,6,3
zróż,9,1
erku,7,10
eduí,1,2
"obi,63,1
wypc,2,1
m – ,2,1
fres,2,1
 sku,70,118
omps,2,1
fori,1,2
i 'g,2,1
dą g,7,1
mś u,2,1
ílel,1,18
řehl,1,13
edup,1,2
ně h,1,34
aape,3,1
haml,10,2
ążał,7,1
kako,7,3
— ta,1,2
ždou,1,28
ku k,32,14
unov,1,2
luči,1,3
oju ,150,1
ł sz,94,1
ek p,134,27
l ku,2,15
drzá,1,3
k ús,1,5
itni,11,1
 she,4,2
žda ,1,2
lm h,2,1
 sza,382,1
ajca,22,1
watn,31,1
l že,1,8
om'o,20,1
v cu,1,2
 bóg,41,1
z py,4,1
uř s,1,2
a šm,1,2
yman,51,1
 egi,20,1
upel,1,12
zsah,1,2
toję,6,1
d św,17,1
akby,122,1
ž 2:,1,2
 hig,3,1
ebí ,1,11
jsły,3,1
k ce,7,3
ź do,46,1
 krą,13,1
 obm,6,1
ekur,3,1
t eg,6,1
ojął,2,1
k ar,4,2
ów f,10,1
hlař,1,2
""ne,2,351
mřet,1,3
dáto,1,2
ky« ,1,2
a sn,4,17
c rę,2,1
" - ,5,19
r te,43,1
pte ,1,4
ajśc,4,1
koní,1,21
um; ,1,2
zíne,1,3
razó,20,1
ejíh,1,12
stým,1,5
ake-,1,2
sydn,7,4
ogue,3,1
r nů,1,2
zu m,7,1
daže,1,5
mdło,7,1
dyka,9,1
yzio,4,1
hyne,1,3
kę ż,3,1
ož r,1,2
ělá ,1,114
psyc,29,9
ny 2,3,1
c zu,2,1
uz k,2,1
potý,1,4
it t,1,129
hodě,1,40
 dir,1,2
kaz ,15,12
towi,74,1
sędz,20,1
v os,1,23
ývá ,1,40
níva,1,5
 ctr,2,1
 sdr,1,3
 ext,1,7
prab,1,5
rdyp,2,1
fáte,1,2
wu r,7,1
 jes,3,1
lbu ,1,2
e u ,14,26
irgi,3,1
já t,1,61
gap ,5,1
přír,1,17
amim,2,2
mu b,44,30
 ji ,2,323
íkrý,1,2
usťm,1,2
ž he,1,2
a eg,32,2
cośm,2,1
 je:,1,4
ékne,1,3
smíř,1,6
ději,1,201
ílný,1,2
adał,227,1
c ps,3,1
 ude,54,10
d mů,1,3
ěrku,1,3
meri,2,67
eřen,1,3
prąd,39,1
rebk,31,1
o wn,21,1
kąś ,40,1
ma 6,2,1
wizu,2,1
hříc,1,6
ysra,1,3
o ch,573,264
ndu ,1,6
buil,3,1
ryły,2,1
1832,1,2
onak,1,2
ejec,18,1
erwa,113,1
zrůs,1,2
odej,194,124
edvo,1,2
mnon,4,1
ruhý,1,36
akog,3,1
 mił,278,1
dwut,6,1
burn,2,1
ene ,3,11
b mn,3,1
"mé ,1,7
: že,1,2
a"ro,2,1
teše,1,2
iomo,2,1
nu n,11,66
 útě,1,12
berc,3,2
tryg,8,1
avám,1,3
ěc j,1,5
 'cl,2,1
dneš,1,55
rogy,1,13
g wr,3,1
olap,2,3
áz s,1,2
aken,2,1
iste,70,13
ć ek,5,1
órco,2,1
ejšť,1,5
 wle,9,1
l dł,2,1
mcem,6,1
ám f,1,9
omás,2,1
gton,7,4
ókiś,2,1
 man,58,109
otrw,33,1
kond,15,4
y s ,1,56
li/p,2,1
omar,119,7
im h,11,2
anka,98,25
mazo,5,1
z żo,11,1
ylą ,6,1
a 70,1,2
aryc,26,1
zyłe,387,1
ů li,1,4
f hi,2,1
tępu,65,1
ijna,3,1
lepu,38,2
e řa,1,3
jącą,31,1
wo c,27,1
 sim,2,2
spre,12,2
corp,3,1
ejít,1,97
"zig,3,1
ké s,1,54
t on,10,3
tot ,2,1
rbil,1,2
v lá,1,3
w fa,12,1
 map,55,22
tu)t,2,1
mny ,75,1
á ri,1,2
ají ,1,469
gauč,1,10
szło,280,1
ě ty,1,4
dysf,1,2
raji,1,39
a zg,31,1
sini,7,1
djąb,2,1
0 fu,3,1
lsow,2,1
áhal,1,33
ši i,1,2
d un,1,2
jum ,5,1
úhlu,1,2
u we,13,2
amra,2,2
eřil,1,14
nabý,1,2
gral,48,1
64 r,2,1
aler,60,12
unik,108,34
ą as,4,1
ywę ,5,1
e 3 ,2,1
e'mu,2,1
ełkn,2,1
ospá,1,2
dnen,2,1
 mno,6,352
ordy,9,1
namé,1,2
choł,5,1
kl ú,1,2
- lu,2,1
y js,1,567
zeko,172,1
edśl,2,1
tili,1,73
prvk,1,3
"mui,3,3
ało-,2,1
mión,1,2
orig,3,6
ażaj,110,1
rejp,2,1
ě da,1,8
epnę,3,1
doil,2,1
969 ,2,1
m/zo,2,1
ac o,2,1
gł n,15,1
ąsze,4,1
ho š,1,15
ę żó,6,1
já č,1,4
zur ,6,1
lň t,1,3
ę ni,786,1
elde,1,2
trop,14,10
pa ś,2,1
taką,33,1
gódź,3,1
abą ,8,1
ševě,1,2
 tul,1,6
alká,1,2
u zů,1,25
e hn,1,12
"i p,6,1
 cię,1060,1
slní,1,3
dřuj,1,3
kept,1,4
ony),2,1
p tą,2,1
an s,100,12
rą c,15,1
ši v,1,4
mbar,3,4
ež m,1,57
rm k,1,2
rkis,2,1
otik,2,7
š lo,1,3
řehá,1,7
nkli,4,3
á uk,1,2
ý hm,1,2
ičil,1,24
pěji,1,2
olul,4,1
pe c,1,2
olí ,1,75
mele,1,7
tánn,1,2
nikę,8,1
ę"od,2,1
á ek,1,3
vo d,1,9
a úř,1,4
verk,1,13
t ří,1,7
una ,4,2
ekł ,47,1
árok,1,4
wtór,57,1
ol ",2,1
jara,3,2
erka,28,8
 nek,3,80
uz u,2,1
 a i,14,7
ów ś,8,1
áš v,1,56
 and,15,13
henr,4,2
er g,4,1
ž už,1,9
mi r,83,64
ną k,88,1
e gl,5,1
ż zy,2,1
eżyw,11,1
 m1 ,2,1
”dod,2,1
é dž,1,2
iš ú,1,2
by m,199,255
iu c,20,1
ýc ž,1,2
ozgł,3,1
nę j,13,1
kort,4,1
ny/z,2,1
ując,289,1
zmín,1,14
rony,125,2
tylk,1015,1
vycv,1,6
glik,18,1
 čis,1,37
ę 4g,2,1
"vyz,1,5
j gr,39,1
ynoa,2,1
k že,1,2
yidi,1,2
tulk,1,3
rave,1,128
eli:,2,1
me c,1,28
zjev,1,2
á ni,1,27
zliš,1,5
iml ,1,12
dr h,2,1
zd f,2,1
oneg,102,1
 ja ,281,2
soki,125,1
leca,43,1
acię,4,1
karą,3,1
 lži,1,11
álý ,1,2
w gi,8,1
"zmn,2,1
ź to,32,1
kuli,21,5
1931,1,2
że f,19,1
"la ,2,2
gł r,5,1
vezd,1,2
 -"",2,1
s lž,1,2
ważą,4,1
é kv,1,12
yt d,132,3
assi,1,3
e mn,598,267
fal ,2,14
edmě,1,14
mkną,71,1
 důc,1,15
t św,45,1
dilo,1,16
sake,5,1
mnib,2,1
łomk,2,1
y šť,1,6
čliv,1,21
dozr,1,2
oň d,1,3
itło,2,1
niew,477,1
ugę ,2,1
ko ź,2,1
„pie,2,1
ěj r,1,2
roky,1,77
v do,1,50
ełdo,2,1
ii ú,1,2
12 8,1,3
nést,1,27
e 2:,1,7
oche,15,1
 zpě,1,64
káke,1,2
cą i,6,1
reb ,2,1
a va,3,28
u hy,2,2
ícen,1,4
haty,7,1
owac,13,1
zowa,105,1
(trz,2,1
sert,3,3
poch,208,182
scio,1,2
že h,1,66
á ků,1,2
hřic,1,2
zzle,1,3
inze,1,2
ztra,2,170
smok,23,1
ł ję,6,1
ijmy,38,1
"lám,1,3
dáva,1,95
erwc,18,1
epid,4,2
m z ,430,68
ěšné,1,3
ur m,3,1
lstv,1,32
gzam,146,1
ęgło,2,1
jaký,1,179
ósł ,85,1
hléb,2,35
ěsíc,1,109
ozof,16,3
ký č,1,12
áže ,1,44
ytli,1,5
łcą ,2,1
"kam,1,26
é ře,1,19
d st,61,53
 šes,1,81
jazn,9,1
żenk,2,1
j ćw,7,1
lů j,1,2
ozu ,5,3
ězím,1,3
azov,1,15
009 ,2,2
edpo,5,32
yzga,3,1
ulku,1,3
ia"n,2,1
o 8 ,3,1
rypy,3,1
heat,3,3
ele:,1,2
my c,193,1
p ks,3,1
eców,7,1
żu d,11,1
ramn,1,2
i dž,1,2
szós,90,1
skon,106,77
vírn,1,2
pupk,1,2
očen,1,10
ničí,1,53
udně,1,3
mějí,1,12
rską,13,1
b ex,1,2
broż,7,1
ostę,109,1
a ra,284,38
 upe,27,2
yhov,1,9
ináč,1,4
lwa ,6,1
y ae,2,1
"wah,5,1
zlob,1,93
nt v,1,5
awiu,3,1
n t-,2,1
acat,1,2
angl,76,247
ruci,25,1
nead,1,2
idei,10,1
róże,41,1
ě má,1,53
ołom,9,1
trná,1,9
u zi,11,8
prań,2,1
: se,1,2
ov n,1,4
żą d,21,1
l sh,1,2
ou „,1,2
tako,37,211
achę,11,1
ndle,3,6
uloo,4,1
axík,1,13
cnik,3,1
nahá,1,6
e li,99,56
že k,1,21
věsí,1,5
pský,1,2
afů ,1,2
líta,1,3
ečná,1,29
ek o,61,15
dł u,3,1
puri,2,3
usvě,1,2
fíry,1,2
onů ,1,8
upy ,25,2
ki n,176,2
"byl,27,241
ílko,1,2
ab j,3,1
t ło,4,1
j uś,8,1
diów,11,1
ms v,1,2
łte ,3,1
onát,1,3
ldon,1,2
 uka,21,10
 čep,1,12
oszl,80,1
ć ce,11,1
m ml,13,110
ybil,5,2
iel ,187,6
záro,1,10
w de,24,1
"ukl,2,7
 yar,2,1
gato,9,1
z ze,66,2
gadk,19,1
st k,248,32
bojo,2,21
m bą,3,1
pu m,3,3
víš ,1,90
ł ok,53,1
ży u,8,1
doga,27,2
"- b,2,1
ě ho,1,52
zwów,3,1
7 97,2,1
la l,22,16
ťané,1,6
 rog,28,1
 míň,1,5
š ke,1,4
 ufo,12,7
ou d,1,175
nieu,86,1
pały,9,1
o ev,1,5
iale,23,2
i tk,2,2
ořit,1,14
zyno,37,1
ž mc,1,2
ło u,24,1
 rav,1,3
pake,1,5
yž j,1,177
bvin,1,22
io j,25,5
u ri,1,3
raźm,2,1
plál,1,2
ozek,1,5
"sal,5,2
ašeč,1,2
dł a,2,1
is v,2,16
ariu,26,1
orcí,1,2
piwa,40,1
h em,5,1
telá,2,1
idzk,4,1
shma,4,1
š ur,1,2
dźci,55,1
perz,10,1
bety,7,1
ą kł,7,1
š z ,1,12
"jed,88,57
yotę,3,1
ż ra,12,1
opác,1,3
sům ,1,2
hýle,1,2
ryzj,18,1
jerw,6,1
apop,2,1
kośc,186,1
"zbl,10,3
uś s,3,1
iš p,1,18
nuly,1,12
mičk,1,3
fu d,2,1
eryn,11,1
lní ,1,90
dší ,1,32
lona,45,11
nu c,3,10
é ús,1,4
bá h,1,2
ouse,2,95
ek 1,2,1
kalí,1,2
rios,2,1
taly,1,14
zují,1,8
celó,6,1
věl ,1,17
siaj,391,1
n bu,17,16
kt ",2,1
váka,1,2
ď 5 ,1,2
3 la,7,1
unió,4,1
řízr,1,2
płód,3,1
lmi ,1,471
telů,1,19
leša,1,5
n ły,2,1
ybně,1,3
ożył,228,1
 żyt,3,1
ukoc,11,1
roce,64,57
itę ,4,1
ąt n,2,1
inus,8,1
jutr,545,1
wyzy,4,1
mane,22,2
utys,3,1
i ho,14,195
rvis,1,3
k zí,1,3
doru,4,10
ázou,1,2
utác,1,5
jaká,1,74
i fo,9,10
dnič,1,19
szna,19,1
12 o,2,1
lays,3,1
ępne,77,1
 ocz,386,1
m vt,1,6
j lž,1,2
ánik,1,2
uvíš,1,65
 w z,256,1
amgn,2,1
trh ,1,3
on a,10,5
ubin,1,2
zpož,1,23
vyvi,1,5
ocní,1,12
ážně,1,96
dě b,1,4
farm,20,14
atli,4,1
již ,1,55
ą op,32,1
rwij,2,1
żb s,2,1
¨"to,1,2
chsz,3,1
ajiš,1,6
ohé ,1,5
"svo,1,6
zywą,2,1
nkub,1,2
l mů,1,29
dnęł,2,1
bniż,9,1
bi f,4,1
o 'c,2,1
p są,2,1
ów u,21,1
lez ,1,7
ohňo,1,2
seš ,1,6
siąś,48,1
í-li,1,3
cesj,8,1
nevd,1,3
sain,2,1
ulii,4,1
"czu,53,1
ti t,1,163
mája,1,2
 sta,1792,710
ť kd,1,2
z ml,13,3
oisz,28,1
narý,1,5
zyża,4,1
ngi ,4,1
17:0,4,1
inas,10,1
ło 1,18,1
rovn,1,97
o sm,46,38
vati,1,9
di č,1,2
k mo,113,32
e ły,5,1
- ma,4,1
řils,1,2
llac,2,1
ének,1,2
hisk,10,3
uová,1,3
ckýc,1,13
żdyc,2,1
ząłb,2,1
ybus,2,1
lený,1,14
c il,2,1
15 d,3,1
t wd,7,1
zł j,2,1
“co ,1,2
bu e,1,3
iebo,58,1
ed k,26,6
"uvn,1,2
í kr,1,34
eg k,2,1
dł b,12,1
łą ś,4,1
 fiz,30,1
edrá,1,2
attl,2,1
l on,1,6
 zml,1,7
wajó,4,1
viče,1,14
żną ,31,1
"igo,1,2
"úmy,1,2
saso,1,3
šet ,1,38
cels,7,1
"coś,24,1
 2 m,3,1
refę,3,1
oodl,2,1
ozbo,1,3
żudl,2,1
zicí,1,2
rka),2,1
naśl,10,1
 sam,1861,217
uguj,44,2
pusz,136,1
"osl,1,3
wą d,15,1
zęcy,2,1
u 16,6,2
zość,105,1
myć ,29,1
 ptá,1,92
a wp,27,1
z in,62,4
”"ch,2,1
gaus,2,1
óbkę,4,1
odal,7,36
waćt,2,1
vaze,1,10
horw,9,1
żają,75,1
e gę,3,1
wdec,3,1
jąc ,214,1
 rui,13,1
en l,78,18
zdań,30,1
třem,1,33
łądy,4,1
i má,2,71
deče,1,15
opyc,5,1
st š,1,6
ść b,40,1
řizo,1,5
 plí,1,2
hé l,1,3
ądow,42,1
 cnó,2,1
ibic,12,1
omuj,5,9
e bł,35,1
iętk,2,1
ębne,5,1
oimh,3,1
j ur,23,1
il m,2,126
ecka,47,14
racą,31,1
yką ,9,1
tkać,96,1
ykt ,2,1
 úhl,1,4
rutn,9,1
ej ",3,1
j cy,5,1
wpra,16,1
ksyt,4,1
 ved,1,105
smis,2,1
