Trigram,spanish,portugese
s s,14751,14685
cfo,3,1
0 ₪,2,1
s c,18783,15217
ñám,2,1
euf,15,23
áem,51,1
:"e,2,5
ć"",1,2
cof,21,33
 mé,870,1175
isù,1,2
ech,5524,922
ztl,19,1
h t,12,10
 d',3,90
r k,48,22
l-c,1,4
(45,2,1
− x,1,2
ga",3,5
»sa,2,1
n z,111,1
nus,114,108
oxa,2,86
2 t,5,3
qi ,1,4
ayp,1,2
ºf),2,1
3 o,3,8
vap,69,44
ndâ,1,23
 “e,7,23
ns-,1,2
dyn,5,2
'es,4,8
sr ,9,2
boi,20,199
asn,33,45
óde,6,1
sgu,81,22
çã",1,4
smu,2,26
áca,37,34
"nó,2,679
roi,61,366
g s,15,16
ulm,121,106
árv,1,686
 pa,35976,43951
(gu,4,1
 éf,1,4
x d,15,14
“-o,1,4
apú,34,1
li:,1,3
- x,1,2
a”é,1,2
írm,55,1
pp",1,2
oct,581,17
ee",2,1
x's,1,2
n ú,54,1
i-p,3,3
beñ,3,1
»"",19,2
lêm,1,14
"20,2,4
ewo,1,2
yr ,4,3
− u,1,2
ya ,4943,25
umc,2,7
t-g,1,3
ogs,6,3
plâ,1,6
oui,8,22
 zl,2,2
lté,41,8
ía-,1,11
eér,6,1
"'q,2,2
zê ,1,3
köz,1,3
laú,2,4
ndô,1,5
ror,1004,225
"“f,1,3
sus,4650,1003
t-a,3,3
mte,2,3
efê,1,9
atú,33,2
leá,18,6
ges,164,208
ó-s,1,2
ssp,2,1
0 º,2,1
ta",39,32
fõe,1,4
qva,2,1
úpi,326,300
dve,151,152
του,1,2
exm,6,1
tzl,2,2
«pr,2,1
 t ,3,2
lo¡,2,1
yak,17,8
​ e,4,1
co',2,2
ba",10,9
p3 ,8,6
sco,1987,5597
xel,6,19
oár,1,2
fá-,1,16
k h,24,10
rŝi,1,2
78 ,3,4
x10,3,3
—la,2,1
999,6,2
rpo,439,458
adi,3720,1742
x-g,2,1
tta,18,9
mês,1,512
ábr,157,89
déc,99,75
елё,1,2
nky,2,1
—or,2,1
ode,2019,10616
áir,3,3
tür,2,1
azá,16,4
itl,48,12
çáv,1,6
bnp,2,2
sva,37,64
«¡c,6,1
usv,4,2
'ac,2,1
l à,1,103
ã é,1,157
ósi,171,189
650,4,4
beu,2,463
s (,31,80
¿nu,25,1
odó,42,6
çai,1,22
i k,8,7
udr,29,1
d m,350,10
as',2,2
ype,16,38
“gu,1,2
) o,5,9
cul,4155,3745
 fé,25,401
 át,68,50
leã,3,139
péy,3,1
umô,1,6
“he,1,2
e  ,1,2
j i,3,1
ciq,4,3
çin,1,2
945,10,10
dj ,3,3
 3²,2,1
oat,10,96
ruf,7,3
"π",2,2
 ¿m,66,1
ng:,2,1
bós,1,14
o:",1,2
 ca,32284,33321
ay ,5505,19
lue,765,227
mwa,3,3
thu,10,24
¡10,2,1
e- ,3,1
—oh,2,1
gím,3,1
úbd,7,2
2pm,2,1
 o ,2798,52329
kay,9,5
:45,2,2
oáv,1,67
koh,24,9
aúb,1,2
é x,1,9
dúe,8,1
lpo,55,56
“se,1,9
oiz,2,1
ssé,1,19
ufé,3,1
""ε,1,2
isk,27,7
 /d,3,1
taa,4,3
ró ,2683,3
lmi,46,15
"51,2,2
ck",2,4
"–l,2,1
jão,1,56
ze;,1,2
meç,1,2149
exn,4,1
4 ó,2,1
zi-,1,12
m -,2,10
orp,821,493
"à ,1,72
/su,1,2
 ar,4476,4213
fíe,51,1
 ¿s,97,1
xix,20,26
¡cí,2,1
e->,2,1
m d,1,3
 87,2,4
vo-,4,24
lán,113,3
gap,32,17
ge”,2,2
onu,181,156
dát,2,19
ubd,3,3
ô -,1,2
kka,59,22
faf,1,2
anq,504,330
us$,1,7
pív,2,2
put,549,820
ífo,20,2
ídi,9,194
iól,26,19
 áu,2,69
cãn,1,2
x 1,2,2
36 ,7,8
 sw,7,7
o l,15708,5965
»"e,32,1
ai;,2,8
"¡i,16,1
¡da,77,1
904,2,1
ons,4212,7247
lld,5,1
eu(,1,2
9pm,2,1
nny,18,19
 és,310,319
y 5,12,1
spo,1974,3237
n $,2,1
sy ,3,3
 @",1,2
<en,2,1
"cu,1490,87
937,2,5
es",56,40
 fs,1,2
 ce,4807,6284
rig,1135,3233
a é,879,7347
fdp,2,1
wur,2,1
s 8,57,59
491,1,2
ósp,19,54
boe,9,18
kuk,3,1
 jr,3,3
30m,1,3
atf,1,2
¡¿o,2,1
niq,41,69
7"",1,2
fôm,1,4
so4,2,1
émo,204,24
žen,2,1
élg,19,27
cit,839,442
"ve,260,268
8h3,1,6
a-l,2,154
tla,30,14
i 4,1,5
epm,1,2
bsí,1,5
bēr,1,2
nae,3,3
rt”,2,1
mbr,6280,2032
’l ,2,1
bla,6276,129
fáv,1,15
 aa,41,86
ílo,8,4
´) ,1,2
= d,1,2
 5},1,2
”du,1,2
"¿d,392,1
nrí,77,2
erá,1968,3229
iãe,1,2
wep,2,2
(m·,1,2
moz,49,22
egú,432,1
o-s,3,189
ôve,1,10
giã,1,348
oed,11,187
r-g,2,4
¡ab,38,1
o «,10,1
côv,1,2
b; ,2,3
ísq,1,27
osé,81,212
rej,386,591
9 m,4,10
ack,200,186
lta,3146,3781
eañ,372,1
ctí,13,42
uxó,5,1
beg,4,3
eñi,81,1
urõ,1,2
oi ,1,2
760,1,2
adа,2,1
azm,55,5
tth,3,4
ma–,3,1
iño,2499,1
ir ,9943,9874
ijé,8,1
"on,7,514
965,3,3
páb,4,1
 rh,5,2
ndt,6,3
"se,924,3387
ẽ p,1,2
fak,1,5
 -y,2,1
láf,1,2
 oí,1016,1
“il,1,2
añí,323,1
eip,3,2
4 u,2,1
iúd,1,21
o— ,2,1
sde,1511,697
eté,44,21
guá,33,2
 e3,2,2
piy,2,1
 li,1,2
  m,2,1
¡li,17,1
apl,306,213
gié,30,4
aii,6,3
déz,2,1
lmã,1,35
éto,117,80
bug,10,27
ca),4,7
ázm,13,1
hok,57,19
h j,3,1
yih,2,1
de”,1,7
deí,2,3
 am,6844,9652
 eq,1058,426
o/g,1,2
oma,3856,3223
 37,6,13
odd,1,2
427,2,1
có;,2,1
 '9,2,1
c; ,2,3
kór,2,1
051,1,2
¡hé,2,1
a” ,5,4
h₂o,1,3
ge;,1,3
iãs,1,3
êmp,1,5
/ p,4,194
ven,7556,4894
”qu,1,6
ás),2,1
xhi,25,1
om/,1,2
678,1,3
ché,186,1
 né,9,119
o-t,4,82
yek,2,2
ê z,1,2
añe,310,2
own,68,93
 “b,2,8
i (,6,12
a 3,41,61
o¡n,2,1
n q,3513,37
ubv,9,11
fói,1,2
dar,6306,7060
“qu,1,15
70%,7,7
inã,1,3
“na,1,2
¿aq,23,1
k y,27,1
 26,23,22
i h,1978,274
ome,6282,12838
oun,179,14
oy ,11541,6
o-l,2,216
azh,2,2
í 6,2,1
ovã,1,21
eje,1172,153
e-l,2,113
uaq,1,2
eyó,151,1
enb,9,8
ca;,12,19
rmó,147,9
ērz,1,2
“di,2,4
”os,1,2
r 7,4,8
ar ,31041,42781
1 e,11,14
zem,4,1166
olé,81,125
e:o,1,2
ads,2,5
 —s,14,1
kop,9,1
má-,1,84
s 4,58,30
/fe,2,1
uid,2332,1942
ièr,3,12
abé,503,82
ebi,894,662
7 e,9,16
e2 ,1,2
no",49,6
dõe,1,17
“ĝi,1,2
jay,3,3
kea,9,7
 “é,1,4
xóc,11,1
sex,234,388
 cl,2647,1506
77 ,4,4
auç,1,15
zhy,2,1
jam,1023,1073
soo,4,17
isi,3126,1354
 eu,570,12604
ns;,1,7
f é,1,10
 3/,1,2
a v,13767,13550
'"q,1,2
eni,3036,1735
ápi,1300,1110
phr,1,2
nlâ,1,46
a10,2,1
zac,258,9
éic,2,1
-pá,1,2
á s,942,2185
í g,11,1
 -ω,1,2
ácu,129,125
efã,1,2
elz,1,5
arа,1,2
áis,899,2
osã,1,44
boh,17,19
atu,1061,1435
uab,24,1
i é,135,438
iby,4,1
u >,1,2
': ,1,2
et',2,1
 19,342,392
oña,188,1
 or,2543,1733
ha？,1,2
θήσ,1,2
 bá,127,85
irw,3,1
622,3,3
rfe,387,483
iáp,2,1
jád,4,1
é v,395,1032
¿ag,6,1
y m,4010,169
mui,16,14622
¡az,2,1
 mí,2731,177
üll,5,3
g c,14,31
übe,2,1
vey,4,1
– à,1,2
blê,1,3
rdi,1987,1567
-zi,1,3
1 —,2,1
ryk,1,2
fen,364,457
ssí,1,995
ubj,9,22
ogé,44,9
ha",7,16
oby,4,5
vas,2324,1231
coj,190,1
ilo,774,1892
eçã,2,502
élo,3,2
coq,26,10
 hb,2,1
t-d,1,2
'”o,1,2
u-a,3,71
"lé,5,1
az ,913,2565
at:,2,1
unh,3,469
o —,27,67
 rã,1,55
só ,1338,2672
hóp,2,1
ur ,117,36
’ág,1,7
‘o ,1,2
fac,556,971
heá,1,3
 09,2,2
lep,26,21
 ∈ ,1,2
845,1,3
:me,2,1
uip,494,235
ket,35,23
695,2,4
he;,5,2
aça,2,2320
vué,52,1
—¡n,3,1
u 3,1,20
 cz,3,7
puy,5,4
7x7,2,1
eub,5,2
—lo,2,1
coé,1,3
v ",1,2
o –,7,67
hã”,1,2
sat,558,542
—in,3,1
v"",2,3
245,2,1
xt-,1,2
iez,1439,4
ldr,139,2
í b,43,4
e—d,1,2
 ¿y,123,1
xiq,1,2
iwe,2,1
ueó,36,9
h k,2,1
apa,4150,4151
enp,5,3
uji,88,57
«po,10,1
íni,126,354
amê,1,15
e”;,1,2
 re,19410,17421
hós,3,44
ike,98,65
ef ,9,6
jba,25,11
moq,9,1
hn",5,3
l) ,8,7
rho,1,2
xpu,98,127
"3ª,1,2
o j,952,3660
ó v,177,129
( ¨,2,1
líq,84,64
hro,5,7
shó,1,2
bva,1,8
daj,27,2
911,7,10
¡¿t,5,1
fne,4,1
uív,7,29
áil,3,5
ñiq,12,1
a w,76,54
otó,319,37
eza,3296,2423
vra,1,1731
lcr,20,14
seé,4,1
f4),2,2
usl,9,1
nân,1,22
dzi,2,3
é-s,1,2
 «e,46,3
álg,26,9
»sh,2,1
iló,242,59
—ac,2,1
caf,969,1124
oá-,1,32
"kg,2,1
à ú,1,5
i"p,1,2
u k,2,11
(va,2,1
tós,3,2
lbu,54,43
qat,3,7
iã:,1,2
goa,3,89
​pe,1,3
¡aú,6,1
h a,15,7
nvó,1,2
ô f,1,34
gaé,8,2
az;,4,8
uyé,8,1
ua),1,3
ęba,2,1
k-u,2,1
alh,33,5818
 sá,310,324
/ e,4,407
ói",1,2
π u,1,4
9"",3,1
 lê,1,176
m é,1,3680
00º,2,3
swi,6,4
​qu,1,2
ões,1,3583
g-u,2,2
λης,1,2
euc,27,38
aíb,1,2
páu,2,1
fou,1,27
35%,2,2
jét,9,6
<no,2,1
h' ,1,2
síg,45,2
üen,214,3
hux,2,1
zé-,1,3
t m,22,11
e π,4,2
emm,14,17
ves,1872,3006
aó:,2,7
mué,83,1
dow,23,39
nsm,74,88
228,1,4
óta,72,6
tév,4,3
aiq,2,1
syd,1,5
665,1,2
6 l,7,5
a11,2,1
orî,1,2
 − ,1,4
sku,82,13
opô,1,27
nán,29,4
¿ge,3,1
eug,13,5
 bm,2,4
"«s,6,1
l v,2848,303
eln,2,1
hub,1006,10
u”f,1,2
lgu,3998,6228
162,2,8
-lí,1,3
roc,702,1885
a -,27,42
k d,26,20
léx,8,11
cõe,1,24
"pã,1,3
im;,1,12
z à,1,19
wa ,18,14
nyi,2,1
tôn,1,122
¡bé,2,1
"¿¡,3,1
ê-o,1,2
eiß,1,2
liy,2,2
i b,408,409
uçu,1,52
ira,2696,8802
24+,2,1
"ky,2,3
uái,3,1
aí-,1,7
 “q,1,10
do-,5,475
fíl,1,2
 b;,1,2
ópa,21,3
fry,2,1
l g,1749,79
seb,15,203
ah",3,3
¡mu,50,1
zoa,2,10
ãe”,1,3
«ga,2,1
koj,3,1
s-b,2,3
rué,25,10
nâo,1,2
jó ,1058,11
20º,1,2
; b,6,10
-i",1,2
šab,2,1
tol,326,353
 nb,3,1
ark,79,139
-82,1,2
atm,75,82
rã”,1,2
ióm,2,1
á b,629,785
sín,67,34
muk,2,1
níx,1,2
m…e,1,2
uim,320,429
0ª ,1,2
çoe,1,39
"gi,11,6
taú,17,2
fus,170,282
"…",2,2
ckn,2,3
/ h,1,14
rnu,59,12
6 d,21,25
"¡f,31,1
asú,2,1
ódo,3,11
g f,8,19
ole,2720,1368
s d,31243,26389
roe,178,85
(+3,2,1
abb,13,6
4 k,2,3
uev,3951,1
ñaf,3,1
"ya,392,10
nĝi,1,4
nef,113,77
493,2,1
rju,62,2
e №,2,1
n¿h,2,1
nha,42,18111
äum,1,4
saí,5,428
peã,1,97
íli,14,1040
 ¡k,2,1
($1,1,3
as”,5,10
gs ,1,2
 fl,1,2
22:,2,2
elt,775,36
 2:,67,87
zuc,21,2
'¿n,2,1
"ód,1,2
ud;,6,1
bc ,5,7
dn ,31,7
niz,344,303
rys,2,2
yon,32,11
 -r,6,1
meo,23,86
c ú,2,1
mum,7,275
a o,4435,11177
620,2,2
pyw,1,2
/ce,1,2
lor,3730,1834
m i,137,3391
1% ,3,6
"zv,2,1
"xu,2,1
h r,7,8
-mé,1,3
eh ,1,5
rã ,1,27
‘bo,2,1
ãib,1,3
m m,718,9799
émi,66,18
rté,166,11
à t,1,353
ono,4814,1829
 (é,1,3
/a ,2,1
zou,1,167
¿me,805,1
 5h,1,7
ió ,8969,1
usô,1,5
quã,1,144
 lu,3455,3063
789,4,7
º p,1,4
"mă,1,2
io？,1,2
ámi,82,1
144,2,5
iuv,1,3
isó,63,52
kch,1,2
oas,22,2842
blí,3,3
450,5,1
ymp,1,2
 éd,3,9
lúp,1,4
ê-n,1,8
àng,2,2
 fē,5,1
tuc,98,44
"–s,3,1
auc,62,12
rid,2319,1810
= i,1,2
li",2,2
f3 ,4,5
uçõ,1,170
3 u,2,2
"¿h,241,1
imm,25,15
ató,647,359
ú p,111,5
jök,2,3
r (,8,16
óto,14,19
r—p,1,2
urí,110,38
 tb,1,5
lew,2,3
déb,105,16
'ha,3,1
mtr,17,1
n <,2,1
la",25,14
púa,10,1
i o,358,3312
¡gu,18,1
nóq,1,6
ec ,22,24
3·2,2,2
aló,324,7
uál,1297,3
ú» ,2,1
h l,9,3
có",1,3
ibd,1,5
fun,1488,1642
 ¿o,2,1
owi,1,2
ona,7572,3865
ilâ,1,29
…fi,1,2
ern,2898,2410
dok,6,3
— a,3,38
era,21007,14101
43 ,5,9
«ci,6,1
 (“,1,8
pés,46,331
uog,2,2
( ",1,2
lap,92,71
eru,87,96
pho,23,36
 '&,2,3
lov,619,88
00%,5,11
gik,2,1
í s,427,26
akó,2,1
ar),3,6
seu,13,9780
itn,5,4
«ll,4,1
nub,247,50
báb,4,2
'aj,2,1
of ,19,67
wen,3,4
rph,12,7
agu,2622,729
pey,8,3
 -d,19,1
ala,4116,9760
zmí,7,1
gáf,4,1
j h,4,1
 ¿p,364,1
isé,232,199
2 v,5,5
wn",1,2
»pe,3,1
vi ,726,1488
ezz,2,3
 bk,1,2
zto,2,1
xíc,1,205
-jo,2,2
cre,6534,5223
a/y,2,1
ayā,2,1
özy,1,3
yo/,2,1
"ot,16,3
dla,37,2
"l',1,2
bur,841,331
yaq,2,1
zui,2,61
t (,2,1
nxi,2,1
ynu,2,2
-hi,2,18
ciõ,1,3
¿ab,3,1
 1º,1,12
 ku,47,25
á z,5,41
cub,933,104
jap,1358,1034
smí,14,3
lãs,1,9
hlu,1,2
xol,2,3
ss-,3,1
biw,7,4
"ló,1,7
qeu,1,2
s i,5460,4303
kos,14,18
túp,304,222
–mu,2,1
(ct,1,2
ñus,2,1
ptu,151,148
-¡t,2,1
ije,882,71
t p,41,40
so…,1,2
jao,5,2
 sf,1,2
zúc,239,1
c"",5,7
499,2,1
 (v,6,7
bíp,3,1
orm,4393,4460
rin,1652,3057
a-d,4,58
gea,4,30
kuč,2,1
us ,5500,6420
923,7,4
zle,12,2
906,4,8
s#p,2,1
mã;,1,3
/ww,2,2
zhō,2,1
u”;,1,2
á 3,4,10
¡ha,166,1
"zi,8,3
v c,8,6
— v,1,5
ag",1,2
key,26,7
e:",1,3
i f,648,1666
lgt,3,1
 9 ,23,26
sci,683,1032
z-v,1,2
 hc,2,2
ιστ,1,2
 gá,8,94
sír,26,21
o t,1,3
exp,2042,2110
upá,16,4
pa’,2,1
3 (,1,3
wic,72,1
uzb,5,6
n 4,17,1
ukt,2,1
dvé,1,19
m ú,3,50
reï,2,1
s-l,2,24
õe ,1,149
r q,6712,8523
rás,1920,1135
afj,2,3
asp,336,171
ejó,768,1
nli,14,39
¡ór,3,1
ai ,37,7167
éch,37,6
о"",1,2
“e”,1,2
opl,161,18
xa:,1,5
333,4,4
üss,2,1
88 ,7,6
rbo,846,316
asl,46,9
otã,1,97
ntê,1,58
ê /,1,2
(sn,1,2
n ‘,3,1
 ♘c,3,3
zón,1326,4
kod,7,1
¡rá,16,2
 (y,10,1
enl,149,62
n —,6,2
w/s,1,2
"e ,4,355
dim,837,816
roç,1,62
boé,1,13
poq,79,1
οτέ,1,2
/no,1,2
' n,2,4
sup,1542,1182
g h,8,3
y ¿,10,1
á á,5,27
ô a,1,22
ráp,1107,878
 3 ,80,77
22d,2,1
uiá,11,8
 el,46238,17853
í m,805,11
dir,2085,3406
¡en,83,1
 ad,2461,3159
akf,3,1
eou,1,124
arã,2,488
— é,2,12
»"¡,5,1
 (8,2,3
lym,3,4
pul,803,993
ez’,2,1
 -o,2,1
ocó,178,8
bag,18,193
oof,2,1
dt),1,2
wa",2,2
 fo,2567,16069
eáb,9,1
rcú,2,19
ímu,12,11
ber,7524,3869
atz,1,2
i v,922,695
lás,309,210
abí,3858,48
"¡w,2,1
lgé,8,17
 dü,2,2
lui,253,266
óny,6,1
"ga,38,67
yud,2764,1
a b,6564,6993
jéi,21,1
utô,1,9
jag,9,3
gio,720,760
mit,1876,1700
64 ,11,10
ceú,2,1
tml,1,7
r—a,1,2
meu,2,10734
o-u,1,3
w a,1,7
a'd,2,1
n'i,2,2
(me,1,2
red,1419,2933
tei,295,3421
or ,28719,26113
 on,215,3829
ábe,2,6
osv,1,2
"mi,1019,239
pye,1,2
 il,327,528
─en,2,1
ory,4,4
pdf,4,2
τen,1,2
see,136,3
pav,88,105
ei/,1,2
vád,2,1
sgê,1,4
qpu,1,2
é -,2,1
"pí,4,1
rov,724,2114
v p,7,9
móm,18,5
(pe,2,9
( e,2,1
nôs,1,2
lís,65,81
uxi,41,47
púj,6,1
biã,1,2
crd,1,2
rja,27,20
140,6,5
'fo,1,2
'ai,1,2
"a ,1132,3149
π s,2,1
= 2,1,2
efi,1009,790
s é,246,1511
uê ,1,134
¡di,98,1
 32,12,18
scã,1,2
 ón,2,1
"ôp,1,2
gtu,1,2
 ps,123,86
 ké,3,1
muh,5,2
2 r,2,3
rde,4122,3930
mis,6071,1437
po»,2,1
kté,1,2
zoz,9,1
ém ,2,5437
tíc,241,507
j y,10,1
taw,10,4
orr,3657,6447
cev,10,22
dze,1,2
eil,21,127
ro»,3,1
km²,3,2
hti,2,3
dh ,2,1
 íg,3,1
u í,3,8
»"j,2,1
cup,1958,2109
"-m,3,1
adn,47,8
ímb,78,184
─ce,2,1
ânq,1,6
iak,3,2
íer,1,2
csk,1,2
sés,164,188
av ,5,6
mi',1,2
pañ,1969,1
éja,371,1
zap,554,4
492,11,10
nbu,6,5
:nã,1,2
zze,10,1
ó ",32,1
rvó,28,1
oev,1,3
sít,15,68
s «,5,3
ся],1,2
 ká,9,1
++ ,2,3
lnu,5,1
-li,2,6
dér,25,3
l-h,2,24
lgr,7,5
fff,2,1
ocu,2965,3255
% h,1,2
móf,14,2
ibt,1,2
ct/,2,1
"«y,3,1
a» ,8,2
c++,4,6
»us,2,1
"–p,3,1
yo-,3,1
fuk,7,7
eyo,8,2
nhõ,1,21
olo,5555,2690
2 h,15,8
76-,1,3
 ¿a,100,1
ss#,2,1
i'',1,2
ánd,1885,1
aab,5,4
p u,1,2
daq,1,1111
b e,59,34
nri,357,40
c-t,5,1
ct ,3,2
quê,1,846
nea,680,128
aka,160,75
tod,13464,8740
ó x,1,2
ió",2,1
 (a,10,25
eiv,8,17
ci ,45,778
$3 ,2,1
 ca,2,6
n a,12067,171
êem,1,8
ão;,1,56
cóm,3199,8
tic,4690,3466
bás,109,51
" p,44,34
"gr,174,79
nqw,2,1
a-u,2,3
s-s,5,18
vul,74,156
u/s,1,2
-15,3,5
¿ku,2,1
aú ,1,31
onb,4,2
vgo,1,2
ei),1,2
 pú,336,260
ix;,1,2
50$,2,1
 f(,1,3
0 μ,2,1
ièt,2,1
 nú,676,638
7 v,2,3
”ca,1,2
pau,162,413
rsc,5,9
ovó,2,25
rnp,2,1
hém,9,1
ao ,1,2
ô h,1,2
kan,53,25
écq,5,1
obj,362,422
0- ,2,1
íei,1,36
squ,961,2754
osc,667,648
¡¡¡,5,1
híf,1,2
ind,1745,8774
r:-,1,2
jan,1127,1842
via,2440,3623
k c,19,21
aós,1,5
gmu,3,1
t+ ,2,1
do;,42,73
m ö,1,2
ccu,4,3
5kg,2,2
rje,173,41
vén,14,7
adı,1,2
zon,513,140
te¡,2,1
$15,1,2
sof,349,750
vân,1,16
 1-,1,2
pró,1020,1918
õez,1,3
u-g,4,2
éve,37,13
tev,22,1258
êpo,1,2
y-e,3,1
<<s,2,1
or),4,8
ro-,6,156
gy ,2,1
asg,50,80
ées,4,1
yay,10,1
le:,14,8
sas,3855,4487
río,1378,129
php,3,7
”) ,1,5
 «q,6,2
9 t,1,2
rso,3574,1187
mru,1,2
ro:,23,33
íbi,1,26
s-r,1,5
"ão,1,2
ol",4,4
néu,1,2
āna,2,2
chn,10,9
líz,21,1
l +,3,1
 db,1,2
mur,1039,222
'co,1,8
rgr,3,2
eñí,12,1
r-c,2,26
idê,1,148
or-,5,32
ceg,27,324
«sa,2,1
hól,36,1
e…",1,2
ot",6,4
 bc,2,1
"–n,3,1
195,36,39
ncí,66,147
aix,4,2251
¡ko,2,1
shy,2,4
ásc,63,95
mmu,5,1
189,5,19
goj,8,1
-am,5,79
)de,2,1
cer,11424,7440
señ,1808,1
32),1,3
los,27717,2619
aaa,5,8
m-a,1,12
unc,4001,5015
no/,2,1
jig,17,1
lai,40,79
nuy,28,1
g)/,2,1
"to,3634,4612
ooz,20,1
úbi,27,43
für,1,2
uló,44,1
enj,77,57
rói,1,140
ˈsv,2,1
546,2,2
gug,4,2
4:2,2,1
6 g,1,3
 - ,2,1
-m-,3,3
”"n,1,6
iph,14,17
 öl,1,2
"«q,3,1
""ó,1,12
tda,1,2
ôpa,1,2
oi-,1,27
–ha,2,1
gá ,8,4
mpè,1,3
cso,5,1
lhã,1,119
 8%,2,3
472,2,1
sue,2665,142
ccd,2,3
dvi,56,6
uz ,409,488
nfu,339,333
ae",1,4
yún,2,1
a 0,8,18
óli,198,171
9:4,2,1
- m,6,11
flh,1,2
peb,2,9
rzo,490,1
ó f,187,189
(im,1,3
juá,3,1
lfé,4,1
m 1,1,430
ças,1,2018
"ce,46,79
iec,192,5
551,2,1
án ,3904,7
úzi,1,48
íss,1,343
15),1,2
itó,462,552
dro,596,796
feo,90,1
941,8,7
vá-,1,120
ã j,1,13
neu,128,147
gid,334,244
gus,6366,48
“ĝa,1,2
dêe,1,2
 bu,5534,781
-cé,1,9
sh',1,2
dn:,2,1
cp ,1,2
 ér,46,78
raí,293,204
uje,2019,99
tа ,1,2
2y²,2,1
mó:,4,1
104,2,1
yuu,3,1
«¡m,10,1
h m,17,19
óps,1,5
cál,230,56
 bj,3,4
chä,1,2
lec,2013,472
mno,298,6
mwe,1,2
pej,171,58
ñeo,2,1
deá,3,3
 té,607,140
leó,140,9
eâm,1,2
ke',1,2
uie,13036,169
uiz,409,92
à á,1,36
o:t,2,1
 a ,1,3
¡¿e,2,1
hte,5,9
leé,22,1
ous,15,224
obs,454,447
mín,118,230
et",8,6
a… ,1,3
omt,4,5
lmõ,1,27
ixó,1,2
nej,396,412
"ig,10,12
we ,3,2
»jo,2,1
—y ,2,1
niu,2,43
roñ,6,1
aku,14,12
r–a,2,1
slú,4,4
e b,1,2
eae,2,1
arg,2171,871
guó,7,1
nti,6411,6140
eyl,12,8
ien,36355,1960
4 l,2,2
bir,1120,180
a ß,3,3
o a,20689,28046
² p,1,2
12 ,49,42
trô,1,212
lth,2,11
húm,66,5
ffm,1,3
ったの,2,1
sio,1156,742
a— ,9,1
fez,1,2220
r¿t,2,1
 «y,22,1
304,1,2
es»,3,1
rõe,1,118
: g,4,7
ô l,1,5
lar,7781,7055
 zh,5,8
moñ,13,1
z– ,2,1
8:0,10,4
1 a,25,32
–gi,2,1
x8),2,2
w v,1,5
dya,8,2
í) ,2,1
-su,4,34
zao,8,1
pf",2,2
oê ,1,3
m q,859,7687
ued,14565,205
inô,1,34
(28,2,2
1:4,1,2
b-r,1,2
for,2937,6671
tre,6666,4996
uay,69,5
fén,2,11
453,1,2
ésp,76,43
co»,3,1
olê,1,119
otâ,1,22
s¿e,2,1
íde,184,282
ibb,2,1
ked,4,8
adé,34,4
«al,5,2
núñ,2,1
 42,13,11
pif,6,20
» v,2,1
jov,768,866
11%,1,2
svá,13,1
d n,478,19
 mе,1,2
kid,3,2
tzi,11,2
lup,20,9
v l,3,4
"de,1580,1787
ue:,5,1
"nu,329,261
-á ,1,21
i 6,1,2
stú,307,256
ezi,2,75
usy,8,3
içõ,1,460
(13,1,2
iaj,1040,679
ixe,4,1715
ñec,158,1
 su,1,3
cló,19,6
há ,8,4766
fea,83,3
- i,3,9
u c,2881,8973
bak,9,11
à h,1,37
ckl,3,3
$ q,2,1
jec,135,25
 tô,1,13
ída,160,361
mad,3633,2157
rd ,44,47
 y ,19213,12
"ŝ",2,2
miá,2,2
omâ,1,89
fru,775,515
¿a ,871,1
¡ob,7,1
8 m,7,7
evu,143,1
y q,1370,286
hij,2065,2
 62,5,3
sht,6,5
pto,471,123
nsk,13,10
 ég,1,12
zie,2,9
"-",5,1
 nâ,1,2
e «,17,3
ajn,1,2
sib,1307,181
rul,82,365
cf ,1,2
¡to,105,1
lcá,58,1
-cl,2,2
"ov,2,5
e t,2,1
edg,5,7
3 z,1,2
íom,2,1
uçi,1,2
009,9,20
ntâ,1,27
rfí,1,77
 tl,6,2
21h,1,2
col,3105,5235
2 e,11,15
pin,1626,1454
9º ,1,5
¿ac,206,1
fab,215,206
ehm,6,2
"sa,283,278
ziņ,1,2
s e,1,5
áni,297,2
gie,232,21
lìl,2,1
afi,404,710
ánq,7,1
m à,1,648
x à,1,2
acl,115,7
rza,682,4
típ,89,41
eic,16,23
l” ,1,3
méc,1,2
n'a,2,1
ã c,1,119
enx,1,184
ó à,1,3
gná,2,2
dek,7,3
lse,93,46
tíe,4,1
ere,12029,8366
706,2,1
dó",1,4
ge:,1,2
orv,12,283
úen,5,1
ne;,2,2
r μ,2,1
uwe,2,1
¡bo,3,1
stt,2,1
 pe,1,2
"¡r,20,1
y 1,27,1
bin,159,264
 eh,8,1
ce:,14,2
316,1,2
" ¡,2,1
ey',2,3
k g,2,5
— c,4,17
mob,17,66
le',4,1
) f,4,7
“es,3,11
goy,24,14
ue ,1,3
vc",1,2
 h6,2,3
34º,2,1
oxi,230,385
 7u,2,1
joa,14,50
xti,125,93
a x,13,210
yey,2,1
épi,16,15
eqs,2,1
«¡q,8,1
gár,38,39
ibi,2277,484
iar,3096,1469
mat,2057,1809
«us,2,1
 óv,8,21
f h,4,3
z: ,9,26
a"g,1,2
¡dí,9,1
»¡p,2,1
lak,7,4
